word	y-ome (n=1601)	Well-annotated (n=2802)	Excluded (n=220)
peptide/polypeptide/protein(s)	1565	2570	153
inner/outer/membrane/transmembrane	502	751	30
binds/binding	419	1479	21
regulate(s)/regulated/regulator(y)/regulation/regulon	368	896	21
transport/transporter/export/import	295	688	35
enzyme	271	1588	12
signal	267	264	18
initiation	253	409	24
phage/prophage	186	185	64
oxidoreductase/reductase/reduce	139	361	4
transcription/transcriptional	124	381	13
promoter	119	204	4
periplasm/periplasmic	113	356	3
lipoprotein	98	88	5
transferase	92	376	15
resistance	92	242	1
structures/structural	91	206	0
cryptic	76	45	17
lysis	75	360	6
synthesis	74	743	3
biofilm	74	139	2
phosphate	70	819	5
metabolism	61	415	6
codon	58	208	93
sugar	58	98	8
stress	57	186	0
production	57	118	5
aerobic	55	215	0
