SetName	Date_pool_expt_started	Drop	Person	Mutant.Library	Description	gDNA.plate	gDNA.well	Index	Sequenced.At	Media	Growth.Method	Group	Temperature	pH	Liquid.v..solid	Aerobic_v_Anaerobic	Shaking	Condition_1	Concentration_1	Units_1	Condition_2	Concentration_2	Units_2	Timecourse	Timecourse.Sample	Growth.Plate.ID	Growth.Plate.wells	StartOD	EndOD	Total.Generations	num	name	short
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Time0	FEBA_gDNA_plate31	A1	IT001	NA	LB	flask	Time0	37	NA	Liquid	Aerobic	200 rpm		NA		NA	NA	NA	NA	NA	NA		0.02	2.23	6.8008999	1	set1IT001	Time0
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Time0	FEBA_gDNA_plate31	A2	IT002	NA	LB	flask	Time0	37	NA	Liquid	Aerobic	200 rpm		NA		NA	NA	NA	NA	NA	NA		0.02	2.23	6.8008999	2	set1IT002	Time0
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose carbon source	FEBA_gDNA_plate31	A3	IT003	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.85	6.529820947	3	set1IT003	D-Glucose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Glucose carbon source	FEBA_gDNA_plate31	A4	IT004	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Glucose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.84	6.520422249	4	set1IT004	D-Glucose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Fructose carbon source	FEBA_gDNA_plate31	A5	IT005	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Fructose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.1	5.781359714	5	set1IT005	D-Fructose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Fructose carbon source	FEBA_gDNA_plate31	A6	IT006	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Fructose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.16	5.857980995	6	set1IT006	D-Fructose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sucrose carbon source	FEBA_gDNA_plate31	A7	IT007	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sucrose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.26	5.977279923	7	set1IT007	Sucrose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	Sucrose carbon source	FEBA_gDNA_plate31	A8	IT008	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	Sucrose	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.24	5.95419631	8	set1IT008	Sucrose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Maltose monohydrate carbon source	FEBA_gDNA_plate31	A9	IT009	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Maltose monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.22	5.930737338	9	set1IT009	D-Maltose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Maltose monohydrate carbon source	FEBA_gDNA_plate31	A10	IT010	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Maltose monohydrate	20	mM	NA	NA	NA	NA	NA	NA		0.02	1.25	5.965784285	10	set1IT010	D-Maltose (C)
Keio_ML9_set1	6/19/2014	NA	Kelly	Keio_ML9	D-Xylose carbon source	FEBA_gDNA_plate31	A11	IT011	NA	M9 minimal media_noCarbon	tube	carbon source	37	NA	Liquid	Aerobic	200 rpm	D-Xylose	20	mM	NA	NA	NA	NA	NA	NA		0.02	0.94	5.554588852	11	set1IT011	D-Xylose (C)
