"specphe.name"	"specphe.locusId"	"specphe.lrn"	"specphe.t"	"specphe.short"	"specphe.Group"	"specphe.Condition_1"	"specphe.Concentration_1"	"specphe.Units_1"	"specphe.Condition_2"	"specphe.Concentration_2"	"specphe.Units_2"
"1"	"set1IT005"	16276	-1.26310607093899	-8.69458789552666	"D-Fructose (C)"	"carbon source"	"D-Fructose"	20	"mM"	NA	NA	NA
"2"	"set1IT006"	16276	-1.61308949168388	-10.3238691931041	"D-Fructose (C)"	"carbon source"	"D-Fructose"	20	"mM"	NA	NA	NA
"3"	"set1IT006"	16278	-1.51174451170212	-6.67135682094345	"D-Fructose (C)"	"carbon source"	"D-Fructose"	20	"mM"	NA	NA	NA
"4"	"set1IT007"	1937020	-1.54945781729108	-7.45455488816952	"Sucrose (C)"	"carbon source"	"Sucrose"	20	"mM"	NA	NA	NA
"5"	"set1IT009"	17479	-5.28876401898696	-11.8137037626437	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"6"	"set1IT009"	17481	-2.93110222154605	-16.1945936269884	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"7"	"set1IT009"	18060	-2.72344280406442	-11.1562577128298	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"8"	"set1IT009"	18061	-3.20691018365908	-15.324733013969	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"9"	"set1IT009"	18062	-2.91670548396126	-11.0439939386177	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"10"	"set1IT009"	18063	-2.64109675342274	-9.83636345564522	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"11"	"set1IT009"	1937014	-1.69897902018839	-7.20969718593778	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"12"	"set1IT010"	17479	-4.72356253173999	-12.1977986491046	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"13"	"set1IT010"	17481	-2.71259125470035	-16.594972297642	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"14"	"set1IT010"	18060	-2.64399584053708	-10.7322081517339	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"15"	"set1IT010"	18061	-2.81882764780651	-12.5922060860237	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"16"	"set1IT010"	18062	-2.7073340539461	-11.0033624363474	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"17"	"set1IT010"	18063	-3.05904245296295	-8.7820444685744	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"18"	"set1IT010"	1937014	-1.80287315861001	-7.7698644923125	"D-Maltose (C)"	"carbon source"	"D-Maltose monohydrate"	20	"mM"	NA	NA	NA
"19"	"set1IT011"	17625	-4.43457279744706	-16.0964402764243	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"20"	"set1IT011"	17626	-4.4396040684604	-15.427666955415	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"21"	"set1IT011"	17627	-2.04566188771981	-11.8310225145907	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"22"	"set1IT011"	17630	-4.03392673968995	-14.4066634043386	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"23"	"set1IT012"	17625	-3.78859703019516	-17.4065911681611	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"24"	"set1IT012"	17626	-4.26478973965068	-16.6243007956242	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"25"	"set1IT012"	17627	-2.08239251271969	-11.6002043751223	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"26"	"set1IT012"	17630	-3.31923732244169	-13.6253197260405	"D-Xylose (C)"	"carbon source"	"D-Xylose"	20	"mM"	NA	NA	NA
"27"	"set1IT013"	14882	-4.59538300672724	-12.5472956532271	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"28"	"set1IT013"	16260	2.16323695857493	12.5403301151696	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"29"	"set1IT013"	16918	1.90457944110932	12.5641420796282	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"30"	"set1IT013"	17022	-2.60710956664322	-14.3441558293937	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"31"	"set1IT014"	14882	-4.83697336976976	-12.4699144658319	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"32"	"set1IT014"	16260	2.33591003917859	13.8529519718012	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"33"	"set1IT014"	16918	2.01161699851975	15.7988702327125	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"34"	"set1IT014"	17022	-3.164085656672	-14.7906659324321	"D-Galactose (C)"	"carbon source"	"D-Galactose"	20	"mM"	NA	NA	NA
"35"	"set1IT015"	14743	-1.38417370584945	-5.58691848289927	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"36"	"set1IT015"	15996	-1.46791044057784	-5.99101784839354	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"37"	"set1IT015"	17418	-2.65150495516775	-13.1677161465641	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"38"	"set1IT015"	17808	-3.07595660785942	-10.4175209999849	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"39"	"set1IT015"	17928	-2.12542295582866	-10.0014508073088	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"40"	"set1IT016"	14472	-1.282763882856	-6.40571520727979	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"41"	"set1IT016"	17418	-2.80468087627353	-13.6342206727546	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"42"	"set1IT016"	17808	-2.96909031762196	-10.1133848878101	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"43"	"set1IT016"	17928	-2.16567316836282	-9.44239712947173	"D-Ribose (C)"	"carbon source"	"D-Ribose"	20	"mM"	NA	NA	NA
"44"	"set1IT017"	15087	-1.35967655750242	-5.62421956350767	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"45"	"set1IT017"	16883	-1.9156368491251	-8.81405302535588	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"46"	"set1IT017"	16884	-4.14028989251867	-12.1463595191218	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"47"	"set1IT017"	16885	-1.0102960270386	-6.38996353228323	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"48"	"set1IT017"	16886	-1.63194912926072	-8.58887188478486	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"49"	"set1IT017"	16887	-1.80910987285543	-7.63962112672932	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"50"	"set1IT017"	16889	-1.8313857203639	-6.89689152174385	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"51"	"set1IT017"	17666	-1.14337211374377	-5.75854715783025	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"52"	"set1IT018"	15087	-1.67823455485348	-7.87382003445604	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"53"	"set1IT018"	15537	-2.27028416120348	-6.32447227399016	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"54"	"set1IT018"	16883	-1.87553290768353	-6.73608046933283	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"55"	"set1IT018"	16884	-4.14127955051231	-11.586399517331	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"56"	"set1IT018"	16885	-1.34339760383544	-7.92892954851358	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"57"	"set1IT018"	16886	-1.78451672649144	-10.5008505327142	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"58"	"set1IT018"	16887	-2.20323541974638	-8.64264036509525	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"59"	"set1IT018"	16889	-1.81824147993282	-8.00114783518987	"L-Fucose (C)"	"carbon source"	"L-Fucose"	20	"mM"	NA	NA	NA
"60"	"set1IT019"	14349	-1.81260707744267	-5.16108263315516	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"61"	"set1IT019"	14720	-3.15681546982252	-10.5281811298534	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"62"	"set1IT019"	15090	-1.2671762780427	-5.62966746202446	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"63"	"set1IT019"	15188	2.28714553750819	11.984597863081	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"64"	"set1IT019"	15962	-1.47977409114249	-5.2691762962403	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"65"	"set1IT019"	16784	-1.99847908120229	-5.61698404213864	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"66"	"set1IT019"	17129	-1.74822724378416	-5.57207318907719	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"67"	"set1IT019"	17303	-2.21762322555973	-10.4022141387827	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"68"	"set1IT019"	17347	-1.2139076297784	-5.97434184112574	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"69"	"set1IT019"	17448	-1.08311872397512	-6.01636336981812	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
"70"	"set1IT019"	18085	-1.40312843294427	-5.36371786318742	"a-Ketoglutaric (C)"	"carbon source"	"a-Ketoglutaric acid disodium salt hydrate"	20	"mM"	NA	NA	NA
