source	type	keyword (or regular expression, for no-information type)	location
EcoCyc	low	possibly	description
EcoCyc	low	predicted	description
EcoCyc	low	hypothetical	description
EcoCyc	low	putative	description
EcoCyc	low	uncharacterized protein	description
EcoCyc	low	No information about this	summary
EcoCyc	high	assay	evidence
EcoCyc	high	traceable author statement to experimental support	evidence
EcoCyc	high	reaction blocked in mutant	evidence
EcoCyc	high (override)	assay	evidence
EcoCyc	high (override)	reaction blocked in mutant	evidence
EcoCyc	high (override)	traceable author statement to experimental support	evidence
EcoGene	low	physiological	description
EcoGene	low	role	description
EcoGene	low	unknown	description
EcoGene	low	uncharacterized	description
EcoGene	low	putative	description
EcoGene	low	function unknown	description
EcoGene	low	putative	protein
EcoGene	low	uncharacterized	protein
UniProt	low	probable	protein
UniProt	low	uncharacterized	protein
UniProt	low	putative	protein
UniProt	low	unknown	function
UniProt	low	not known	function
EcoCyc	no-information	No information about this	any
EcoGene	no-information	.* family protein$	any
EcoGene	no-information	.* family\.?$	any
EcoGene	no-information	Null	any
EcoGene	no-information	Putative enzyme; Not classified	any
EcoGene	no-information	Phenotype; Not classified	any
EcoGene	no-information	Putative factor; Not classified	any
EcoGene	no-information	.*uncharacterized protein.*	any
EcoGene	no-information	.*pseudogene.*	any
EcoGene	no-information	.*function unknown.*	any
EcoGene	no-information	.*Phage or Prophage Related.*	any
EcoGene	no-information	^t|f$	any
EcoGene	no-information	Orf; Not classified	any
UniProt	no-information	^$	any
UniProt	no-information	Chain \(1\)	any
UniProt	no-information	^\d\.0$	any
UniProt	no-information	^\d$	any
UniProt	no-information	^Putative uncharacterized	any
UniProt	no-information	^Putative protein	any
UniProt	no-information	^Uncharacterized protein	any
UniProt	no-information	^Protein .{4}$	any
UniProt	no-information	^UPF\d{4} Protein .{4}$	any
UniProt	no-information	FUNCTION: Not yet known\.	any
UniProt	no-information	^t|f$	any
RefSeq	no-information	 family protein$	any
RefSeq	no-information	^{}$	any
RefSeq	no-information	^t|f$	any
RefSeq	no-information	uncharacterized protein	any
RefSeq	no-information	putative enzyme; Not classified	any
RefSeq	no-information	putative regulator; Not classified	any
RefSeq	no-information	orf; Not classified	any
RefSeq	no-information	putative factor; Not classified	any
