locus_id	primary_name	yome
b0001	thrL	no
b0002	thrA	no
b0003	thrB	no
b0004	thrC	no
b0005	yaaX	yes
b0006	yaaA	yes
b0007	yaaJ	yes
b0008	talB	no
b0009	mog	no
b0010	satP	no
b0011	yaaW	yes
b0012	mbiA	yes
b0013	yaaI	yes
b0014	dnaK	no
b0015	dnaJ	no
b0016	insL-1, insL1	no
b0017		excluded
b0018	mokC	yes
b0019	nhaA	no
b0020	nhaR	no
b0021	insB-1, insB1	no
b0022	insA-1, insA1, insA	no
b0023	rpsT	no
b0024	yaaY	yes
b0025	ribF	no
b0026	ileS	no
b0027	lspA	no
b0028	fkpB	no
b0029	ispH	no
b0030	rihC	no
b0031	dapB	no
b0032	carA	no
b0033	carB	no
b0034	caiF	no
b0035	caiE	yes
b0036	caiD	no
b0037	caiC	no
b0038	caiB	no
b0039	caiA	no
b0040	caiT	no
b0041	fixA	yes
b0042	fixB	yes
b0043	fixC	yes
b0044	fixX	yes
b0045	yaaU	yes
b0046	kefF	no
b0047	kefC	no
b0048	folA	no
b0049	apaH	no
b0050	apaG	yes
b0051	rsmA	no
b0052	pdxA	no
b0053	surA	no
b0054	lptD	no
b0055	djlA	no
b0056	yabP	yes
b0057	yabQ	yes
b0058	rluA	no
b0059	rapA	no
b0060	polB	no
b0061	araD	no
b0062	araA	no
b0063	araB	no
b0064	araC	no
b0065	yabI	yes
b0066	thiQ	no
b0067	thiP	no
b0068	thiB	no
b0069	sgrR	no
b0070	setA	no
b0071	leuD	no
b0072	leuC	no
b0073	leuB	no
b0074	leuA	no
b0075	leuL	yes
b0076	leuO	no
b0077	ilvI	no
b0078	ilvH	no
b0079	fruL	excluded
b0080	cra	no
b0081	mraZ	no
b0082	rsmH	no
b0083	ftsL	no
b0084	ftsI	no
b0085	murE	no
b0086	murF	no
b0087	mraY	no
b0088	murD	no
b0089	ftsW	no
b0090	murG	no
b0091	murC	no
b0092	ddlB	no
b0093	ftsQ	no
b0094	ftsA	no
b0095	ftsZ	no
b0096	lpxC	no
b0097	secM	no
b0098	secA	no
b0099	mutT	no
b0100		excluded
b0101	yacG	no
b0102	zapD	no
b0103	coaE	no
b0104	guaC	no
b0105		excluded
b0106	hofC	yes
b0107	hofB	yes
b0108	ppdD	yes
b0109	nadC	no
b0110	ampD	no
b0111	ampE	yes
b0112	aroP	no
b0113	pdhR	no
b0114	aceE	no
b0115	aceF	no
b0116	lpd, lpdA	no
b0117	yacH	yes
b0118	acnB	no
b0119	yacL	yes
b0120	speD	no
b0121	speE	no
b0122	yacC	yes
b0123	cueO	no
b0124	gcd	no
b0125	hpt	no
b0126	can	no
b0127	yadG	yes
b0128	yadH	yes
b0129	yadI	yes
b0130	yadE	yes
b0131	panD	no
b0132	rpnC, yadD	yes
b0133	panC	no
b0134	panB	no
b0135	yadC	yes
b0136	yadK	yes
b0137	yadL	yes
b0138	yadM	yes
b0139	htrE	yes
b0140	yadV	yes
b0141	yadN	yes
b0142	folK	no
b0143	pcnB	no
b0144	gluQ	no
b0145	dksA	no
b0146	sfsA	yes
b0147	thpR, ligT	no
b0148	hrpB	yes
b0149	mrcB	no
b0150	fhuA	no
b0151	fhuC	no
b0152	fhuD	no
b0153	fhuB	no
b0154	hemL	no
b0155	clcA	no
b0156	erpA	no
b0157	yadS	yes
b0158	btuF	no
b0159	mtn, mtnN	no
b0160	dgt	no
b0161	degP	no
b0162	cdaR	no
b0163	yaeH	yes
b0164	yaeI	no
b0165		excluded
b0166	dapD	no
b0167	glnD	no
b0168	map	no
b0169	rpsB	no
b0170	tsf	no
b0171	pyrH	no
b0172	frr	no
b0173	dxr	no
b0174	ispU	no
b0175	cdsA	no
b0176	rseP	no
b0177	bamA	no
b0178	skp	no
b0179	lpxD	no
b0180	fabZ	no
b0181	lpxA	no
b0182	lpxB	no
b0183	rnhB	no
b0184	dnaE	no
b0185	accA	no
b0186	ldcC	no
b0187	yaeR	yes
b0188	tilS	no
b0189	rof	yes
b0190	yaeQ	yes
b0191	arfB	no
b0192	nlpE	no
b0193	yaeF	yes
b0194	proS	no
b0195	trmO, tsaA	no
b0196	rcsF	no
b0197	metQ	no
b0198	metI	no
b0199	metN	no
b0200	gmhB	no
b0201	rrsH	no
b0202	ileV	no
b0203	alaV	no
b0204	rrlH	no
b0205	rrfH	no
b0206	aspU	no
b0207	dkgB	no
b0208	yafC	yes
b0209	yafD	yes
b0210	yafE	yes
b0211	mltD	no
b0212	gloB	no
b0213	yafS	yes
b0214	rnhA	no
b0215	dnaQ	no
b0216	aspV	no
b0217	yafT	yes
b0218	yafU, yafU'	excluded
b0219	yafV	no
b0220	ivy	no
b0221	fadE	no
b0222	lpcA, gmhA	no
b0223	yafJ	yes
b0224	yafK	yes
b0225	yafQ	no
b0226	dinJ	no
b0227	yafL	yes
b0228	rayT	no
b0229	lfhA, lfhA'	excluded
b0230	lafU, lafU'	excluded
b0231	dinB	no
b0232	yafN	no
b0233	yafO	no
b0234	yafP	yes
b0235	ykfJ, ykfJ'	excluded
b0236	prfH, prfH'	excluded
b0237	pepD	no
b0238	gpt	no
b0239	frsA	no
b0240	crl, crl'	no
b0241	phoE	no
b0242	proB	no
b0243	proA	no
b0244	thrW	no
b0245	ykfI	yes
b0246	yafW	no
b0247	ykfG	yes
b0248	yafX	yes
b0249	ykfF	yes
b0250	ykfB	yes
b0251	yafY	yes
b0252	yafZ	yes
b0253	ykfA	yes
b0254	perR	yes
b0255	insN1	yes
b0256	insI-1, insI1	no
b0257	insO1	yes
b0258	ykfC, ykfC'	excluded
b0259	insH-1, insH1	no
b0260	mmuP	no
b0261	mmuM	no
b0262	afuC, fbpC	yes
b0263	afuB, afuB'	excluded
b0264	insB-2, insB2, insB1	no
b0265	insA-2, insA2, insA	no
b0266	yagB, yagB'	excluded
b0267	yagA	yes
b0268	yagE	no
b0269	yagF	no
b0270	yagG	yes
b0271	yagH	yes
b0272	xynR, yagI	no
b0273	argF	no
b0274	insB-3, insB3, insB1	no
b0275	insA-3, insA3, insA	no
b0276	yagJ, yagJ'	excluded
b0277	yagK	yes
b0278	yagL	yes
b0279	yagM	yes
b0280	yagN	yes
b0281	intF	yes
b0282	yagP	yes
b0283	paoD	no
b0284	paoC	no
b0285	paoB	no
b0286	paoA	no
b0287	yagU	yes
b0288	ykgJ	yes
b0289	ecpE	yes
b0290	ecpD	yes
b0291	ecpC	yes
b0292	ecpB	yes
b0293	ecpA	yes
b0294	ecpR	no
b0295	ykgL	yes
b0296	ykgM	yes
b0297	eaeH, eaeH'	excluded
b0298	insE-1, insE1	no
b0299	insF-1, insF1	no
b0300	ykgA, ykgA'	excluded
b0301	rclC	yes
b0303	rclB	yes
b0304	rclA	yes
b0305	rclR	no
b0306	ykgE	yes
b0307	ykgF	yes
b0308	ykgG	yes
b0309		excluded
b0310	ykgH	yes
b0311	betA	no
b0312	betB	no
b0313	betI	no
b0314	betT	no
b0315	pdeL, yahA	no
b0316	yahB	yes
b0317	yahC	yes
b0318	yahD	yes
b0319	yahE	yes
b0320	yahF	yes
b0321	yahG	yes
b0322	yahH	yes
b0323	yahI	yes
b0324	yahJ	yes
b0325	yahK	no
b0326	yahL	yes
b0327	yahM	yes
b0328	yahN	yes
b0329	yahO	yes
b0330	prpR	no
b0331	prpB	no
b0333	prpC	no
b0334	prpD	no
b0335	prpE	no
b0336	codB	no
b0337	codA	no
b0338	cynR	no
b0339	cynT	no
b0340	cynS	no
b0341	cynX	yes
b0342	lacA	no
b0343	lacY	no
b0344	lacZ	no
b0345	lacI	no
b0346	mhpR	no
b0347	mhpA	no
b0348	mhpB	no
b0349	mhpC	no
b0350	mhpD	no
b0351	mhpF	no
b0352	mhpE	no
b0353	mhpT	no
b0354	yaiL	yes
b0355	frmB	no
b0356	frmA	no
b0357	frmR	no
b0358	yaiO	yes
b0360	insC-1, insC1	no
b0361	insD-1, insD1	no
b0363	yaiP	yes
b0364	yaiS	yes
b0365	tauA	no
b0366	tauB	no
b0367	tauC	no
b0368	tauD	no
b0369	hemB	no
b0370	ykiB	excluded
b0372	insF-2, insF2, insF1	no
b0373	insE-2, insE2, insE1	no
b0375	iprA, yaiV	yes
b0376	ampH	no
b0377	sbmA	no
b0378	yaiW	no
b0379	yaiY	yes
b0380	yaiZ	yes
b0381	ddlA	no
b0382	iraP	no
b0383	phoA	no
b0384	psiF	yes
b0385	dgcC, yaiC	no
b0386	proC	no
b0387	yaiI	yes
b0388	aroL	no
b0389	yaiA	yes
b0390	aroM	yes
b0391	ppnP, yaiE	no
b0392	ykiA, ykiA'	excluded
b0393	rdgC	no
b0394	mak	no
b0396	araJ	yes
b0397	sbcC	no
b0398	sbcD	no
b0399	phoB	no
b0400	phoR	no
b0401	brnQ	no
b0402	proY	yes
b0403	malZ	no
b0404	acpH	no
b0405	queA	no
b0406	tgt	no
b0407	yajC	no
b0408	secD	no
b0409	secF	no
b0410	yajD	yes
b0411	tsx	no
b0412	yajI	yes
b0413	nrdR	no
b0414	ribD	no
b0415	ribE	no
b0416	nusB	no
b0417	thiL	no
b0418	pgpA	no
b0419	yajO	no
b0420	dxs	no
b0421	ispA	no
b0422	xseB	no
b0423	thiI	no
b0424	yajL	no
b0425	panE	no
b0426	yajQ	no
b0427	yajR	yes
b0428	cyoE	no
b0429	cyoD	no
b0430	cyoC	no
b0431	cyoB	no
b0432	cyoA	no
b0433	ampG	no
b0434	yajG	yes
b0435	bolA	no
b0436	tig	no
b0437	clpP	no
b0438	clpX	no
b0439	lon	no
b0440	hupB	no
b0441	ppiD	no
b0442	ybaV	yes
b0443	fadM	no
b0444	queC	no
b0445	ybaE	yes
b0446	cof	no
b0447	decR, ybaO	no
b0448	mdlA	yes
b0449	mdlB	yes
b0450	glnK	no
