primary_name	gene_product
araJ	putative major facilitator superfamily transport protein AraJ
cvrA	putative K<sup>+</sup>:H<sup>+</sup> antiporter
dcuD	putative C4-dicarboxylate uptake C family transporter DcuD
ddpB	putative D,D-dipeptide ABC transporter
ddpC	putative D,D-dipeptide ABC transporter
ddpD	putative D,D-dipeptide ABC transporter
ddpF	putative D,D-dipeptide ABC transporter
dinF	DNA damage-inducible protein F
eutH	putative inner membrane protein
frvA	putative PTS enzyme II FrvAB
frvB	putative PTS enzyme II FrvAB
frwB	putative PTS enzyme II FrwCBDPtsA
frwC	putative PTS enzyme II FrwCBDPtsA
frwD	putative PTS enzyme II FrwCBDPtsA
fryA	putative PTS enzyme II FryBCA
fryB	putative PTS enzyme II FryBCA
fryC	putative PTS enzyme II FryBCA
ftsE	divisome protein complex FtsEX
ftsX	divisome protein complex FtsEX
glvB	putative PTS enzyme II component GlvB
glvC	putative PTS enzyme II component GlvC
hcaT	putative 3-phenylpropionate transporter
hofC	inner membrane protein HofC
hsrA	putative major facilitator superfamily transporter HsrA
marC	inner membrane protein MarC
mdlA	ABC transporter family protein MdlA
mdlB	ABC transporter family protein MdlB
mdtD	putative multidrug efflux pump MdtD
modF	ABC family protein ModF
nupX	putative nucleoside transporter
rarD	putative drug/metabolite transporter superfamily transporter RarD
sapB	putrescine ABC exporter
sapC	putrescine ABC exporter
sapD	putrescine ABC exporter
sapF	putrescine ABC exporter
setC	putative arabinose exporter
sgcA	putative PTS enzyme II SgcBCA
sgcB	putative PTS enzyme II SgcBCA
sgcC	putative PTS enzyme II SgcBCA
sugE	quaternary ammonium compound efflux pump
tsgA	putative major facilitator superfamily transporter TsgA
yaaJ	putative alanine/glycine:cation symporter family transporter YaaJ
yaaU	putative major facilitator superfamily transporter YaaU
yadG	putative transport complex, ABC superfamily
yadH	putative transport complex, ABC superfamily
yagG	putative xyloside transporter YagG
yahN	putative amino acid exporter
yajR	putative major facilitator superfamily transport protein YajR
ybaE	putative ABC transporter periplasmic binding protein YbaE
ybaL	putative monovalent cation:proton antiporter-2 family transporter YbaL
ybaT	putative transporter YbaT
ybbA	putative transport complex, ABC superfamily
ybbP	putative transport complex, ABC superfamily
ybbW	putative allantoin transporter
ybbY	putative purine transporter
ybeX	CorC-HlyC family protein YbeX
ybhF	multidrug ABC exporter
ybhI	putative tricarboxylate transporter
ybhR	multidrug ABC exporter
ybhS	multidrug ABC exporter
ybiR	putative ion transporter superfamily protein YbiR
ybiT	ABC transporter ATP-binding protein YbiT
ybjJ	inner membrane protein YbjJ
ybjL	putative transport protein YbjL
