bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b0481	ybaK	EcoCyc	medium	high	
b1715	pheM	EcoCyc	medium	high	
b0178	skp	EcoGene	medium	low	
b0015	dnaJ	EcoGene	medium	high	
b0055	djlA	EcoGene	medium	high	
b1035	ycdY	EcoGene	medium	high	
b1035	ycdY	EcoCyc	medium	low	
b4209	ytfE	EcoGene	medium	high	
b4209	ytfE	EcoCyc	medium	high	
b2526	hscA	EcoGene	medium	high	
b3401	hslO	EcoGene	medium	high	
b0649	djlC	EcoGene	medium	high	
b2524	iscX	EcoCyc	medium	high	
b1229	tpr	EcoGene	medium	low	
b1000	cbpA	EcoGene	medium	high	
b2186	yejK	EcoCyc	medium	low	
b4391	ettA	EcoGene	medium	high	
b4391	ettA	EcoCyc	medium	high	
b2620	smpB	EcoGene	medium	high	
b1718	infC	EcoGene	medium	high	
b3486	rbbA	EcoCyc	medium	high	
b4550	arfA	EcoGene	medium	high	
b3340	fusA	EcoGene	medium	high	
b1282	yciH	EcoGene	medium	high	
b0659	ybeY	EcoCyc	medium	high	
b3168	infB	EcoGene	medium	high	
b3203	hpf	EcoGene	medium	high	
b0170	tsf	EcoGene	medium	high	
b0884	infA	EcoGene	medium	high	
b3590	selB	EcoGene	medium	high	
b4147	efp	EcoGene	medium	high	
b1787	yeaK	EcoCyc	medium	high	
b2898	ygfZ	EcoGene	medium	low	"lots of ""may""s and ""might""s in the description"
b0650	hscC	EcoGene	medium	high	
b1114	mfd	EcoGene	medium	high	
b3982	nusG	EcoGene	medium	high	
b1162	bluR	EcoGene	medium	high	
b0416	nusB	EcoGene	medium	high	
b0416	nusB	EcoCyc	medium	high	
b3130	yhaV	EcoGene	medium	high	
b4625	symR	EcoGene	medium	high	
b4625	symR	EcoCyc	medium	high	
b4446	sibC	EcoCyc	medium	low	
b4447	sibD	EcoCyc	medium	low	
b4444	omrA	EcoGene	medium	high	
b4444	omrA	EcoCyc	medium	high	
b4437	sibB	EcoCyc	medium	low	
b4611	sibE	EcoCyc	medium	low	
b4436	sibA	EcoCyc	medium	low	
b4608	ohsC	EcoCyc	medium	low	
b4452	gadY	EcoCyc	medium	high	
b4445	omrB	EcoGene	medium	high	
b4445	omrB	EcoCyc	medium	high	
b3343	tusB	EcoGene	medium	high	
b0969	tusE	EcoCyc	medium	high	
b1413	hrpA	EcoCyc	medium	high	
b3344	tusC	EcoGene	medium	high	
b4624	ryjB	EcoCyc	medium	low	
b4691	sroH	EcoCyc	medium	low	
b4449	psrO	EcoCyc	medium	low	
b4459	ryjA	EcoCyc	medium	low	
b4417	rybB	EcoGene	medium	high	
b4417	rybB	EcoCyc	medium	high	
b4609	ryfD	EcoCyc	medium	low	
b4585	chiX	EcoCyc	medium	high	
b4690	eyeA	EcoCyc	medium	low	
b4432	ryeA	EcoCyc	medium	low	
b4457	csrC	EcoGene	medium	high	
b4457	csrC	EcoCyc	medium	high	
b4435	isrC	EcoCyc	medium	low	
b0797	rhlE	EcoCyc	medium	high	
b4440	ryfA	EcoCyc	medium	low	
b4433	sdsR	EcoGene	medium	high	
b4433	sdsR	EcoCyc	medium	low	
b4701	sokX	EcoCyc	medium	low	
b4418	sraB	EcoCyc	medium	low	
b4450	arcZ	EcoCyc	medium	high	
b4434	isrB	EcoCyc	medium	low	
b4430	rydB	EcoCyc	medium	low	
b0962	helD	EcoCyc	medium	high	
b2894	xerD	EcoCyc	medium	high	"clicking the link for the system listed under the ""component of"" section reveals the function of this gene in a big text blurb"
b0687	seqA	EcoCyc	medium	high	
b0467	priC	EcoGene	medium	high	
b0467	priC	EcoCyc	medium	high	
b0393	rdgC	EcoGene	medium	high	
b0393	rdgC	EcoCyc	medium	low	
b4201	priB	EcoGene	medium	high	
b4362	dnaT	EcoGene	medium	high	
b1610	tus	EcoGene	medium	high	
b1610	tus	EcoCyc	medium	high	
b3935	priA	EcoGene	medium	high	
b3322	gspB	EcoGene	medium	low	
b3322	gspB	EcoCyc	medium	low	
b0454	atl	EcoCyc	medium	low	
b3645	dinD	EcoCyc	medium	low	
b0472	recR	EcoGene	medium	high	
b4389	radA	EcoGene	medium	low	
b4389	radA	EcoCyc	medium	low	
b0836	bssR	EcoGene	medium	high	
b0836	bssR	EcoCyc	medium	low	
b1060	bssS	EcoGene	medium	high	
b1060	bssS	EcoCyc	medium	low	
b0947	ycbX	EcoCyc	medium	low	
b1407	ydbD	EcoCyc	medium	low	
b0192	nlpE	EcoGene	medium	high 	
b0192	nlpE	EcoCyc	medium	high	
b3441	yhhY	EcoCyc	medium	low	
b3910	yiiM	EcoCyc	medium	low	
b3048	yqiI	EcoCyc	medium	low	
b2259	pmrD	EcoGene	medium	high	pmrD is an inactive, but expressed protein in E.Coli. We know what it was supposed to do...does this mean it is highly annotated
b2259	pmrD	EcoCyc	medium	high	
b4428	hokB	EcoGene	medium	low	
b4428	hokB	EcoCyc	medium	high	
b0226	dinJ	EcoGene	medium	high	
b4412	hokC	EcoGene	medium	low	
b4412	hokC	EcoCyc	medium	high	
b2619	ratA	EcoGene	medium	high	
b4423	ldrC	EcoGene	medium	low	
b4423	ldrC	EcoCyc	medium	low	
b4453	ldrD	EcoGene	medium	low	
b4421	ldrB	EcoGene	medium	low	
b4421	ldrB	EcoCyc	medium	low	
b0018	mokC	EcoGene	medium	high 	
b0018	mokC	EcoCyc	medium	high	
b4455	hokA	EcoGene	medium	low	
b4455	hokA	EcoCyc	medium	high	
b4235	pmbA	EcoCyc	medium	high	
b4419	ldrA	EcoGene	medium	low	
b4419	ldrA	EcoCyc	medium	low	
b1182	hlyE	EcoGene	medium	high	
b1182	hlyE	EcoCyc	medium	high	
b1178	pliG	EcoCyc	medium	high	
b2520	yfhM	EcoCyc	medium	high	
b0624	flc	EcoGene	medium	high	
b0301	rclC	EcoGene	medium	high	
b1743	spy	EcoGene	medium	high	
b0220	ivy	EcoGene	medium	high	
b4706	iroK	EcoGene	medium	low	
b4706	iroK	EcoCyc	medium	low	
b3251	mreB	EcoGene	medium	high	
b3251	mreB	EcoCyc	medium	high	
b0922	mukF	EcoCyc	medium	low	
b3933	ftsN	EcoGene	medium	low	
b3933	ftsN	EcoCyc	medium	high	
b2748	ftsB	EcoGene	medium	high	
b2748	ftsB	EcoCyc	medium	high	
b3928	zapB	EcoGene	medium	high	
b3017	ftsP	EcoGene	medium	high	
b0946	zapC	EcoGene	medium	high	
b3163	nlpI	EcoGene	medium	low	
b3811	xerC	EcoCyc	medium	high	more key datails can be found in the systems link
b0083	ftsL	EcoGene	medium	high	
b0083	ftsL	EcoCyc	medium	high	
b3361	fic	EcoCyc	medium	low	
b4142	groS	EcoCyc	medium	high	more key details can be found in the component of link
b3641	slmA	EcoGene	medium	high	
b3641	slmA	EcoCyc	medium	high	
b0102	zapD	EcoGene	medium	high	
b2910	zapA	EcoGene	medium	high	
b3129	prlF	EcoGene	medium	high	
b3129	prlF	EcoCyc	medium	high	
b4361	dnaC	EcoCyc	medium	high	
b4143	groL	EcoCyc	medium	high	more key details can be found in the component of link
b0956	matP	EcoGene	medium	high	
b0956	matP	EcoCyc	medium	high	
b0093	ftsQ	EcoGene	medium	high	
b0093	ftsQ	EcoCyc	medium	high	
b0095	ftsZ	EcoCyc	medium	high	
b0924	mukB	EcoCyc	medium	high	
b4520	ymgF	EcoCyc	medium	low	
b2566	era	EcoCyc	medium	low	
b3149	diaA	EcoGene	medium	high	
b1176	minC	EcoGene	medium	high	
b1379	hslJ	EcoGene	medium	low	
b3167	rbfA	EcoGene	medium	high	
b0990	cspG	EcoGene	medium	low	
b0990	cspG	EcoCyc	medium	low	
b3400	hslR	EcoGene	medium	high	
b3400	hslR	EcoCyc	medium	high	
b3980	tufB	EcoGene	medium	high	
b4410	ecnA	EcoGene	medium	high	
b4410	ecnA	EcoCyc	medium	high	
