bnum	gene_name	knowledgebase	ann_quality	new_ann_quality	comments
b0178	skp	EcoGene	medium	high	
b0015	dnaJ	EcoGene	medium	high	
b0055	djlA	EcoGene	medium	high	
b1035	ycdY	EcoGene	medium	high	
b4209	ytfE	EcoGene	medium	high	
b2526	hscA	EcoGene	medium	high	
b3401	hslO	EcoGene	medium	high	
b0649	djlC	EcoGene	medium	high	
b1229	tpr	EcoGene	medium	low	
b1000	cbpA	EcoGene	medium	high	
b4391	ettA	EcoGene	medium	high	
b2620	smpB	EcoGene	medium	high	
b1718	infC	EcoGene	medium	high	
b4550	arfA	EcoGene	medium	high	
b3340	fusA	EcoGene	medium	high	
b1282	yciH	EcoGene	medium	high	
b3168	infB	EcoGene	medium	high	
b3203	hpf	EcoGene	medium	high	
b0170	tsf	EcoGene	medium	high	
b0884	infA	EcoGene	medium	high	
b3590	selB	EcoGene	medium	high	
b4147	efp	EcoGene	medium	high	
b2898	ygfZ	EcoGene	medium	low	"lots of ""may""s and ""might""s in the description"
b0650	hscC	EcoGene	medium	high	
b1114	mfd	EcoGene	medium	high	
b3982	nusG	EcoGene	medium	high	
b1162	bluR	EcoGene	medium	high	
b0416	nusB	EcoGene	medium	high	
b3130	yhaV	EcoGene	medium	high	
b4625	symR	EcoGene	medium	high	
b4444	omrA	EcoGene	medium	high	
b4445	omrB	EcoGene	medium	high	
b3343	tusB	EcoGene	medium	high	
b3344	tusC	EcoGene	medium	high	
b4417	rybB	EcoGene	medium	high	
b4457	csrC	EcoGene	medium	high	
b4433	sdsR	EcoGene	medium	high	
b0467	priC	EcoGene	medium	high	
b0393	rdgC	EcoGene	medium	high	
b4201	priB	EcoGene	medium	high	
b4362	dnaT	EcoGene	medium	high	
b1610	tus	EcoGene	medium	high	
b3935	priA	EcoGene	medium	high	
b3322	gspB	EcoGene	medium	low	
b0472	recR	EcoGene	medium	high	
b4389	radA	EcoGene	medium	low	
b0836	bssR	EcoGene	medium	high	
b1060	bssS	EcoGene	medium	high	
b0192	nlpE	EcoGene	medium	high	
b2259	pmrD	EcoGene	medium	high	pmrD is an inactive, but expressed protein in E.Coli. We know what it was supposed to do...does this mean it is highly annotated
b4428	hokB	EcoGene	medium	low	
b0226	dinJ	EcoGene	medium	high	
b4412	hokC	EcoGene	medium	low	
b2619	ratA	EcoGene	medium	high	
b4423	ldrC	EcoGene	medium	low	
b4453	ldrD	EcoGene	medium	low	
b4421	ldrB	EcoGene	medium	low	
b0018	mokC	EcoGene	medium	high	
b4455	hokA	EcoGene	medium	low	
b4419	ldrA	EcoGene	medium	low	
b1182	hlyE	EcoGene	medium	high	
b0624	flc	EcoGene	medium	high	
b0301	rclC	EcoGene	medium	high	
b1743	spy	EcoGene	medium	high	
b0220	ivy	EcoGene	medium	high	
b4706	iroK	EcoGene	medium	low	
b3251	mreB	EcoGene	medium	high	
b3933	ftsN	EcoGene	medium	low	
b2748	ftsB	EcoGene	medium	high	
b3928	zapB	EcoGene	medium	high	
b3017	ftsP	EcoGene	medium	high	
b0946	zapC	EcoGene	medium	high	
b3163	nlpI	EcoGene	medium	low	
b0083	ftsL	EcoGene	medium	high	
b3641	slmA	EcoGene	medium	high	
b0102	zapD	EcoGene	medium	high	
b2910	zapA	EcoGene	medium	high	
b3129	prlF	EcoGene	medium	high	
b0956	matP	EcoGene	medium	high	
b0093	ftsQ	EcoGene	medium	high	
b3149	diaA	EcoGene	medium	high	
b1176	minC	EcoGene	medium	high	
b1379	hslJ	EcoGene	medium	low	
b3167	rbfA	EcoGene	medium	high	
b0990	cspG	EcoGene	medium	low	
b3400	hslR	EcoGene	medium	high	
b3980	tufB	EcoGene	medium	high	
b4410	ecnA	EcoGene	medium	high	
b3339	tufA	EcoGene	medium	high	
b0014	dnaK	EcoGene	medium	high	
b4411	ecnB	EcoGene	medium	high	
b3491	yhiM	EcoGene	medium	low	
b0287	yagU	EcoGene	medium	low	
b3509	hdeB	EcoGene	medium	high	
b1597	asr	EcoGene	medium	low	
b3687	ibpA	EcoGene	medium	high	
b0424	yajL	EcoGene	medium	high	
b1445	ydcX	EcoGene	medium	low	
b2962	yggX	EcoGene	medium	high	
b3238	yhcN	EcoGene	medium	low	
b4137	cutA	EcoGene	medium	high	
b3153	yhbO	EcoGene	medium	low	
b0006	yaaA	EcoGene	medium	low	
b3686	ibpB	EcoGene	medium	low	
b3024	ygiW	EcoGene	medium	low	
b4409	blr	EcoGene	medium	low	
b1333	uspE	EcoGene	medium	low	
b3923	uspD	EcoGene	medium	low	
b1895	uspC	EcoGene	medium	low	
b1973	zinT	EcoGene	medium	high	
b4682	yqcG	EcoGene	medium	low	
b4252	tabA	EcoGene	medium	low	
b0296	ykgM	EcoGene	medium	high	
b0762	acrZ	EcoGene	medium	high	
b0466	ybaM	EcoGene	medium	low	
b1848	yebG	EcoGene	medium	low	
b4618	tisB	EcoGene	medium	high	
b4059	ssb	EcoGene	medium	high	
b1061	dinI	EcoGene	medium	high	
b2616	recN	EcoGene	medium	low	
b0607	uspG	EcoGene	medium	high	
b2783	mazE	EcoGene	medium	high	
b3510	hdeA	EcoGene	medium	high	
b2017	yefM	EcoGene	medium	high	
b4539	yoeB	EcoGene	medium	high	
b4224	chpS	EcoGene	medium	high	
b2757	casD	EcoGene	medium	high	
b2760	casA	EcoGene	medium	high	
b2756	casE	EcoGene	medium	high	
b2759	casB	EcoGene	medium	high	
b2922	yggE	EcoGene	medium	low	
b2758	casC	EcoGene	medium	high	
b4559	ghoT	EcoGene	medium	high	
b4665	ibsC	EcoGene	medium	low	
b4687	shoB	EcoGene	medium	low	
b0461	tomB	EcoGene	medium	high	
b4664	ibsD	EcoGene	medium	low	
b4667	ibsA	EcoGene	medium	low	
b4666	ibsE	EcoGene	medium	low	
b4668	ibsB	EcoGene	medium	low	
b0881	clpS	EcoGene	medium	high	
b2592	clpB	EcoGene	medium	high	
b3123	rnpB	EcoGene	medium	high	
b1266	yciV	EcoGene	medium	low	
b4407	thiS	EcoGene	medium	high	
b3459	panM	EcoGene	medium	high	
b4246	pyrL	EcoGene	medium	high	
b2598	pheL	EcoGene	medium	high	
