bnum	gene_name	knowledgebase	ann_quality	new_ann_quality
b2115	molR_1	EcoCyc	low	high
b0626	ybeM_2	EcoCyc	low	low
b1980	yeeL_1	EcoCyc	low	low
b4103	phnE_2	EcoCyc	high	high
b3782	rhoL	EcoCyc	low	high
b4434	isrB	EcoCyc	low	low
b4416	rybA	EcoCyc	low	high
b4338	yjiP	EcoCyc	low	low
b3681	glvG	EcoCyc	low	low
b1318	ycjV	EcoCyc	low	low
b2680	ygaX	EcoCyc	low	low
b0255	insN-1	EcoCyc	low	low
b1149	ymfN	EcoCyc	low	low
b1142	ymfH	EcoCyc	low	low
b4283	insN-2	EcoCyc	low	low
b4285	insO-2	EcoCyc	low	low
b0257	insO-1	EcoCyc	low	low
b2855	ygeK	EcoCyc	low	low
b0282	yagP	EcoCyc	low	low
b1543	ydfJ	EcoCyc	low	low
b2138	mdtQ	EcoCyc	low	low
b1510	ydeK	EcoCyc	low	low
b3776	yifO	EcoCyc	low	low
b1509	ydeU	EcoCyc	low	low
b2649	ypjB	EcoCyc	low	low
b4715	ytiA	EcoCyc	low	low
b1458	yncI	EcoCyc	low	low
b3808	yzcX	EcoCyc	low	low
b3490	yhiL	EcoCyc	low	low
b3036	ygiA	EcoCyc	low	low
b0374	yaiU	EcoCyc	low	low
b1173	ycgI	EcoCyc	low	low
b2857	ygeM	EcoCyc	low	low
b4604	yojO	EcoCyc	low	low
b4612	yrhD	EcoCyc	low	low
b1470	yddJ	EcoCyc	low	low
b2941	yqgD	EcoCyc	low	low
b0322	yahH	EcoCyc	low	low
b0371	yaiT	EcoCyc	low	low
b0500	ybbD	EcoCyc	low	low
b0057	yabQ	EcoCyc	low	low
b2862	ygeP	EcoCyc	low	low
b4223	yzfA	EcoCyc	low	low
b4610	ygdT	EcoCyc	low	low
b0012	htgA	EcoCyc	low	low
b0056	yabP	EcoCyc	low	low
b1228	ychS	EcoCyc	low	low
b1935	yedM	EcoCyc	low	low
b4605	ypaB	EcoCyc	low	low
b1169	ycgH_1	EcoCyc	low	low
b2227	yfaS_2	EcoCyc	low	low
b3767	ilvG_1	EcoCyc	high	high
b1721	arpB_2	EcoCyc	low	low
b2999	yghX_1	EcoCyc	low	low
b1964	yedS_1	EcoCyc	low	low
b4275	yjgX_2	EcoCyc	low	low
b2031	wbbL_1	EcoCyc	low	low
b1979	yeeL_2	EcoCyc	low	low
b1417	gapC_1	EcoCyc	low	high
b2117	molR_3	EcoCyc	low	low
b4530	yncK_1	EcoCyc	low	low
b1720	arpB_1	EcoCyc	low	low
b3768	ilvG_2	EcoCyc	high	high
b1934	yedN_1	EcoCyc	low	low
b3217	ychE_1	EcoCyc	low	low
b1966	yedS_3	EcoCyc	low	low
b1405	ydbA_2	EcoCyc	low	low
b1416	gapC_2	EcoCyc	low	high
b2116	molR_2	EcoCyc	low	low
b1170	ycgH_2	EcoCyc	low	low
