bnum	up_ann_quality	yome_ann_quality	correct_ann_quality
b4362	high	low	high
b2566	high	low	high
b4409	high	low	low
b1218	high	low	low
b0461	high	low	high
b2896	high	low	high
b2945	high	low	low
b0638	high	low	high
b1393	high	low	high
b2542	high	low	high
b2132	high	low	low
b2979	high	low	high
b3656	high	low	high
b0766	high	low	high
b0404	high	low	high
b1090	high	low	high
b2690	high	low	low
b3885	high	low	high
b1059	high	low	high
b0825	high	low	high
b1461	high	low	high
b3946	high	low	high
b4141	high	low	high
b3947	high	low	high
b0805	high	low	high
b3463	high	low	high
b2129	high	low	high
b2934	high	low	high
b2933	high	low	high
b3899	high	low	high
b3900	high	low	low
b3949	high	low	low
b3950	high	low	low
b3953	high	low	low
b2383	high	low	low
b2386	high	low	low
b2387	high	low	low
b1352	high	low	low
b0261	high	low	low
b0537	high	low	high
b1140	high	low	high
b1570	high	low	low
b4251	high	low	high
b3244	high	low	low
b0958	high	low	high
b3952	high	low	low
b3252	high	low	high
b0084	high	low	high
b0938	high	low	high
b4230	high	low	high
b1312	high	low	low
b0448	high	low	high
b1442	high	low	low
b2211	high	low	high
b1631	high	low	high
b2130	high	low	low
b3270	high	low	low
b1191	high	low	low
b3388	high	low	low
b3739	high	low	high
b1311	high	low	low
b0715	high	low	low
b1627	high	low	high
b1630	high	low	high
b2128	high	low	low
b1293	high	low	high
b4148	high	low	high
b0341	high	low	high
b3462	high	low	high
b1053	high	low	high
b1629	high	low	high
b1443	high	low	low
b1292	high	low	high
b1632	high	low	high
b0970	high	low	high
b4231	high	low	high
b1829	high	low	low
b0449	high	low	high
b1755	high	low	low
b1926	high	low	high
b0968	high	low	low
b1639	high	low	high
b0633	high	low	high
b0251	high	low	low
b3715	high	low	low
b1308	high	low	high
b2955	high	low	low
b3102	high	low	high
b1955	high	low	low
b2777	high	low	high
b2252	high	low	low
b2798	high	low	high
b3682	high	low	high
b3139	high	low	high
b1593	high	low	high
b0521	high	low	low
b1917	high	low	high
b0262	high	low	high
b1347	high	low	low
b0256	high	low	high
b1918	high	low	high
b4571	high	low	high
b0481	low	high	high
b1715	low	high	high
b3349	low	high	high
b0053	low	high	high
b2992	low	high	high
b2526	low	high	high
b0649	low	high	high
b2524	low	high	high
b2236	low	high	high
b2674	low	high	high
b0905	low	high	low
b2269	low	high	high
b2620	low	high	high
b3445	low	high	high
b2338		high	low
b4389	high	low	high
b3163	high	low	high
b4252	high	low	low
b0471	high	low	low
b1112	high	low	low
b2616	high	low	high
b4665	high	low	low
b4664	high	low	low
b4667	high	low	low
b4666	high	low	low
b0782	high	low	low
b1694	high	low	low
b2453	high	low	low
b2438	high	low	low
b2439	high	low	low
b0041	high	low	low
b0042	high	low	low
b1280	high	low	high
b3250	high	low	low
b3720	high	low	high
b2107	high	low	low
b3375	high	low	low
b3507	high	low	low
b1831	high	low	low
b2617	high	low	high
b0396	high	low	low
b3249	high	low	low
b0489	high	low	low
b2457	high	low	low
b2793	high	low	high
b0798	high	low	high
b1647	high	low	low
b2659	high	low	low
b3414	high	high	high
b1282	low	high	high
b2207	low	high	high
b1787	low	high	high
b0650	low	high	high
b3782	low	high	high
b0416	low	high	high
b3130	low	high	high
b4532	low	high	high
b0969	low	high	high
b2949	low	high	low
b1842	low	high	high
b4372	low	high	high
b3700	low	high	high
b2565	low	high	high
b0836	low	high	high
b1060	low	high	high
b0947	low	high	low
b1324	low	high	high
b2480	low	high	high
b3503	low	high	low
b4412	low	high	high
b4453	low	high	low
b0018	low	high	high
b4455	low	high	low
b2520	low	high	high
b0624	low	high	high
b0220	low	high	high
b3247	low	high	low
b3167	low	high	high
b4410	low	high	low
b4376	low	high	low
b4411	low	high	low
b4511	low	high	high
b4367	low	high	high
b1581	low	high	high
b4137	low	high	low
b3029	low	high	low
b3398	low	high	low
b1061	low	high	high
b0607	low	high	low
b4539	low	high	high
b4559	low	high	high
b1766	low	high	low
b4345	low	high	high
b2892	low	high	high
b3338	low	high	high
b3475	low	high	low
b0419	low	high	low
b4246	low	high	high
b2598	low	high	high
b2018	low	high	high
b0075	low	high	low
b1265	low	high	high
b3672	low	high	high
b3766	low	high	high
b4083	low	high	low
b2221	low	high	high
b1701	low	high	high
b0335	low	high	high
b0443	low	high	high
