ann_quality	bnum	gene_name	new_ann_quality
tbd	b0055	djlA	high
tbd	b0998	torD	high
tbd	b1035	ycdY	high
tbd	b4209	ytfE	high
tbd	b2526	hscA	low
tbd	b3401	hslO	high
tbd	b1000	cbpA	high
tbd	b2186	yejK	low
tbd	b3259	prmA	high
tbd	b2326	epmC	high
tbd	b2753	iap	high
tbd	b0905	ycaO	low
tbd	b2891	prfB	high
tbd	b3340	fusA	high
tbd	b1211	prfA	high
tbd	b4375	prfC	high
tbd	b0884	infA	high
tbd	b2972	pppA	low
tbd	b2207	napD	low
tbd	b2898	ygfZ	low
tbd	b1162	bluR	high
tbd	b0416	nusB	low
tbd	b3343	tusB	high
tbd	b3345	tusD	high
tbd	b0195	trmO	high
tbd	b3344	tusC	high
tbd	b1344	ttcA	high
tbd	b0892	rarA	high
tbd	b0467	priC	high
tbd	b4201	priB	high
tbd	b4362	dnaT	high
tbd	b1610	tus	high
tbd	b3700	recF	low
tbd	b1960	vsr	high
tbd	b2565	recO	low
tbd	b0454	atl	high
tbd	b2961	mutY	high
tbd	b3910	yiiM	low
tbd	b3001	gpr	high
tbd	b2259	pmrD	high
tbd	b4428	hokB	high
tbd	b4412	hokC	low
tbd	b2619	ratA	high
tbd	b4235	pmbA	high
tbd	b1178	pliG	high
tbd	b0301	rclC	low
tbd	b0220	ivy	low
tbd	b3928	zapB	high
tbd	b3232	zapE	high
tbd	b0102	zapD	high
tbd	b4361	dnaC	high
tbd	b0956	matP	high
tbd	b4410	ecnA	low
tbd	b4376	osmY	low
tbd	b4411	ecnB	low
tbd	b0287	yagU	low
tbd	b1597	asr	low
tbd	b4367	fhuF	low
tbd	b3687	ibpA	high
tbd	b3506	slp	low
tbd	b1445	ortT	low
tbd	b4137	cutA	low
tbd	b4189	bsmA	low
tbd	b1333	uspE	low
tbd	b1895	uspC	low
tbd	b0296	ykgM	high
tbd	b4618	tisB	high
tbd	b1741	cho	high
tbd	b0607	uspG	low
tbd	b2017	yefM	high
tbd	b4050	pspG	low
tbd	b4559	ghoT	low
tbd	b2897	cptB	low
tbd	b0461	tomB	high
tbd	b2896	cptA	high
tbd	b0881	clpS	high
tbd	b2385	ypdF	high
tbd	b1913	uvrC	high
tbd	b1844	exoX	high
tbd	b0398	sbcD	high
tbd	b4346	mcrB	high
tbd	b0397	sbcC	high
tbd	b4407	thiS	high
tbd	b2906	ubiI	high
tbd	b0662	ubiF	high
tbd	b3834	ubiJ	low
tbd	b3742	mioC	low
tbd	b3459	panM	high
tbd	b2868	xdhC	high
tbd	b1338	abgA	high
tbd	b1337	abgB	high
tbd	b4474	frlC	low
tbd	b1390	paaC	high
tbd	b3431	glgX	high
tbd	b1389	paaB	low
tbd	b2540	hcaC	high
tbd	b2996	hybA	low
tbd	b0684	fldA	high
tbd	b0585	fes	high
tbd	b2527	hscB	high
tbd	b1684	sufA	low
tbd	b3807	cyaY	low
tbd	b0030	rihC	high
tbd	b0651	rihA	high
tbd	b4301	sgcE	low
tbd	b0516	allC	high
tbd	b2904	gcvH	high
tbd	b0039	caiA	high
tbd	b0035	caiE	low
tbd	b2979	glcD	high
tbd	b2907	ubiH	high
tbd	b2727	hypB	high
tbd	b0239	frsA	high
tbd	b2724	hycB	high
tbd	b2721	hycE	high
tbd	b2719	hycG	high
tbd	b2579	grcA	high
tbd	b3891	fdhE	low
tbd	b1226	narJ	high
tbd	b2993	hybD	high
tbd	b2729	hypD	high
tbd	b0975	hyaD	high
tbd	b1873	torY	high
tbd	b2205	napG	low
tbd	b2204	napH	low
tbd	b2726	hypA	low
tbd	b2208	napF	low
tbd	b0849	grxA	high
tbd	b2673	nrdH	high
tbd	b1064	grxB	low
tbd	b3610	grxC	high
tbd	b4075	nrfF	low
tbd	b4071	nrfB	low
tbd	b1418	cybB	high
tbd	b2202	napC	high
tbd	b0617	citD	high
tbd	b1057	yceJ	low
tbd	b1655	mepH	high
tbd	b1042	csgA	high
tbd	b2034	wbbI	high
tbd	b1279	lapA	low
tbd	b0641	lptE	high
tbd	b1048	mdoG	low
tbd	b3049	glgS	high
tbd	b1023	pgaB	high
tbd	b1022	pgaC	high
tbd	b3532	bcsB	high
tbd	b1501	ydeP	low
tbd	b3248	yhdE	low
tbd	b2690	yqaB	high
tbd	b3080	ygjK	low
tbd	b0872	hcr	high
tbd	b1134	nudJ	high
tbd	b2670	alaE	high
tbd	b3579	yiaO	high
tbd	b1729	ydjN	high
tbd	b4464	ghxQ	high
tbd	b3522	yhjD	low
tbd	b1102	fhuE	high
tbd	b4291	fecA	high
tbd	b0805	fiu	high
tbd	b1024	pgaA	high
tbd	b1377	ompN	high
tbd	b1256	ompW	high
tbd	b0681	chiP	high
tbd	b0241	phoE	high
tbd	b4513	kdpF	high
tbd	b0588	fepC	high
tbd	b4287	fecE	high
tbd	b0199	metN	high
tbd	b1917	yecC	high
tbd	b3454	livF	high
tbd	b3541	dppD	high
tbd	b1858	znuC	high
tbd	b0066	thiQ	high
tbd	b0855	potG	high
tbd	b2677	proV	high
tbd	b1290	sapF	low
tbd	b0829	gsiA	high
tbd	b0809	glnQ	high
tbd	b0864	artP	high
tbd	b0933	ssuB	high
tbd	b3455	livG	high
tbd	b3540	dppF	high
tbd	b1513	lsrA	high
tbd	b2129	yehX	high
tbd	b1291	sapD	high
tbd	b0152	fhuD	high
tbd	b3728	pstS	high
tbd	b0763	modA	high
tbd	b2310	argT	high
tbd	b3751	rbsB	high
tbd	b0197	metQ	high
tbd	b0811	glnH	low
tbd	b0860	artJ	high
tbd	b0830	gsiB	high
tbd	b1857	znuA	high
tbd	b1901	araF	high
tbd	b4227	ytfQ	low
tbd	b3544	dppA	high
tbd	b3453	ugpB	high
tbd	b3566	xylF	high
tbd	b0655	gltI	high
tbd	b2131	yehZ	high
tbd	b3458	livK	high
tbd	b2309	hisJ	high
tbd	b1123	potD	high
tbd	b3917	sbp	high
tbd	b0068	thiB	high
tbd	b2425	cysP	high
tbd	b3460	livJ	high
tbd	b0854	potF	high
tbd	b2150	mglB	high
tbd	b3476	nikA	high
tbd	b4261	lptF	high
tbd	b0808	ybiO	low
tbd	b3949	frwC	high
tbd	b2386	fryC	high
tbd	b2702	srlA	high
tbd	b2835	lplT	high
tbd	b2144	sanA	low
tbd	b0831	gsiC	high
tbd	b0874	lysO	high
tbd	b1798	leuE	low
tbd	b2578	eamB	high
tbd	b1601	tqsA	high
tbd	b2682	ygaZ	low
tbd	b1352	kilR	high
tbd	b2631	rnlB	high
tbd	b2350	yfdG	low
tbd	b2622	intA	high
tbd	b1347	rcbA	high
tbd	b2344	fadL	high
tbd	b1562	hokD	low
tbd	b2630	rnlA	high
tbd	b1307	pspD	low
tbd	b0537	intD	high
tbd	b0254	perR	low
tbd	b1348	ralR	high
tbd	b1158	pinE	low
tbd	b2005	cbtA	high
tbd	b1557	cspB	low
tbd	b2351	yfdH	low
tbd	b1140	intE	high
tbd	b1349	recT	high
tbd	b0741	pal	low
tbd	b2004	cbeA	high
tbd	b0411	tsx	high
tbd	b2155	cirA	low
tbd	b1370	insH5	low
tbd	b0949	uup	low
tbd	b0256	insI1	high
tbd	b2009	sbmC	high
tbd	b1305	pspB	low
tbd	b1306	pspC	low
tbd	b0994	torT	low
tbd	b2381	ypdB	high
tbd	b2684	mprA	high
tbd	b0464	acrR	low
tbd	b0313	betI	high
tbd	b4089	rpiR	high
tbd	b3438	gntR	high
tbd	b3938	metJ	high
tbd	b4393	trpR	high
tbd	b1013	rutR	high
tbd	b0840	deoR	high
tbd	b4480	hdfR	high
tbd	b3574	yiaJ	high
tbd	b1512	lsrR	high
tbd	b0730	mngR	high
tbd	b4062	soxS	high
tbd	b3243	aaeR	high
tbd	b1916	sdiA	high
tbd	b4396	rob	high
tbd	b4366	bglJ	high
tbd	b2731	fhlA	high
tbd	b2537	hcaR	high
tbd	b3723	bglG	high
tbd	b4133	cadC	high
tbd	b3868	glnG	high
tbd	b2808	gcvA	high
tbd	b2491	hyfR	high
tbd	b3906	rhaR	high
tbd	b2980	glcC	high
tbd	b3060	ttdR	high
tbd	b0305	rclR	high
tbd	b0504	allS	high
tbd	b2163	yeiL	low
tbd	b3202	rpoN	high
tbd	b1823	cspC	low
tbd	b3229	sspA	high
tbd	b3082	higA	high
tbd	b0623	cspE	low
tbd	b3406	greB	high
tbd	b3764	yifE	low
tbd	b3181	greA	high
tbd	b4351	mrr	low
tbd	b3190	ibaG	low
tbd	b4348	hsdS	high
tbd	b1438	hicB	high
tbd	b3495	uspA	low
tbd	b1731	cedA	high
tbd	b3244	tldD	high
tbd	b1921	fliZ	high
tbd	b2340	sixA	high
tbd	b0233	yafO	high
tbd	b0097	secM	high
tbd	b0637	rsfS	high
tbd	b3083	higB	high
tbd	b4175	hflC	high
tbd	b1139	lit	high
tbd	b4174	hflK	high
tbd	b1807	tsaB	low
tbd	b0545	ybcL	low
tbd	b1887	cheW	high
tbd	b0101	yacG	high
tbd	b0232	yafN	high
tbd	b4326	iraD	high
tbd	b0382	iraP	high
tbd	b3096	mzrA	high
tbd	b3929	rraA	high
tbd	b1976	mtfA	high
tbd	b3745	viaA	low
tbd	b3871	typA	high
tbd	b1625	cnu	high
tbd	b0315	yahA	high
tbd	b1326	mpaA	low
tbd	b1243	oppA	high
tbd	b3208	mtgA	high
tbd	b1329	mppA	high
tbd	b1041	csgB	high
tbd	b0108	ppdD	low
tbd	b4318	fimF	low
tbd	b4316	fimC	high
tbd	b0535	fimZ	low
tbd	b0938	elfA	high
tbd	b4320	fimH	high
tbd	b4314	fimA	high
tbd	b4317	fimD	high
tbd	b4319	fimG	low
tbd	b2313	cvpA	low
tbd	b0737	tolQ	high
tbd	b4140	fxsA	low
tbd	b1363	trkG	high
tbd	b0738	tolR	high
tbd	b0433	ampG	low
tbd	b1473	yddG	high
tbd	b3266	acrF	high
tbd	b0402	proY	high
tbd	b1791	nimT	high
tbd	b4138	dcuA	high
tbd	b2686	emrB	high
tbd	b3874	yihN	low
tbd	b2196	ccmF	low
tbd	b3093	exuT	high
tbd	b0428	cyoE	high
tbd	b3350	kefB	high
tbd	b1628	rsxB	high
tbd	b3116	tdcC	high
tbd	b2393	nupC	high
tbd	b2211	yojI	high
tbd	b3063	ttdT	high
tbd	b4337	mdtM	high
tbd	b1737	chbC	high
tbd	b3196	yrbG	low
tbd	b0587	fepE	high
tbd	b0792	ybhR	low
tbd	b1631	rsxG	high
tbd	b3367	nirC	high
tbd	b1981	shiA	high
tbd	b3750	rbsC	high
tbd	b0591	entS	high
tbd	b3824	rhtB	low
tbd	b1216	chaA	high
tbd	b2130	yehY	high
tbd	b2943	galP	high
tbd	b0478	ybaL	low
tbd	b0598	cstA	low
tbd	b3731	atpC	high
tbd	b0832	gsiD	high
tbd	b1500	safA	high
tbd	b2075	mdtB	high
tbd	b1125	potB	high
tbd	b1421	trg	high
tbd	b1049	mdoH	high
tbd	b4476	gntU	high
tbd	b0577	ybdG	low
tbd	b1191	cvrA	high
tbd	b2106	rcnA	high
tbd	b3849	trkH	high
tbd	b0627	tatE	high
tbd	b0861	artM	high
tbd	b3673	emrD	high
tbd	b3739	atpI	high
tbd	b0621	dcuC	high
tbd	b2720	hycF	high
tbd	b1600	mdtJ	high
tbd	b0409	secF	high
tbd	b4262	lptG	high
tbd	b2663	gabP	high
tbd	b1528	sotB	low
tbd	b2195	dsbE	high
tbd	b0040	caiT	high
tbd	b1859	znuB	high
tbd	b3691	dgoT	high
tbd	b3006	exbB	high
tbd	b0696	kdpC	high
tbd	b1223	narK	high
tbd	b1627	rsxA	high
tbd	b3667	uhpC	high
tbd	b2685	emrA	high
tbd	b1616	uidB	low
tbd	b3603	lldP	high
tbd	b2200	ccmB	high
tbd	b0813	rhtA	high
tbd	b3494	uspB	low
tbd	b4321	gntP	high
tbd	b2423	cysW	high
tbd	b0479	fsr	low
tbd	b2243	glpC	high
tbd	b2587	kgtP	high
tbd	b1630	rsxD	high
tbd	b0407	yajC	low
tbd	b3823	rhtC	high
tbd	b1496	yddA	low
tbd	b4111	proP	high
tbd	b2128	yehW	high
tbd	b3514	mdtF	high
tbd	b0153	fhuB	high
tbd	b0815	opgE	high
tbd	b0634	mrdB	low
tbd	b2074	mdtA	high
tbd	b1255	yciC	low
tbd	b4148	sugE	high
tbd	b3659	setC	low
tbd	b1429	tehA	high
tbd	b0920	elyC	low
tbd	b4123	dcuB	high
tbd	b4461	yfjD	low
tbd	b1515	lsrD	high
tbd	b0692	potE	high
tbd	b0862	artQ	high
tbd	b3664	adeQ	high
tbd	b2014	plaP	high
tbd	b2170	setB	low
tbd	b0653	gltK	high
tbd	b2722	hycD	high
tbd	b1296	puuP	high
tbd	b1599	mdtI	high
tbd	b2678	proW	high
tbd	b1907	tyrP	high
tbd	b3072	aer	high
tbd	b3654	xanP	high
tbd	b0336	codB	high
tbd	b2182	bcr	high
tbd	b2841	araE	high
tbd	b0314	betT	high
tbd	b0427	yajR	low
tbd	b0709	dtpD	high
tbd	b1330	ynaI	low
tbd	b0576	pheP	high
tbd	b1885	tap	high
tbd	b2570	rseC	low
tbd	b1053	mdtG	high
tbd	b0067	thiP	high
tbd	b3710	mdtL	high
tbd	b4072	nrfC	low
tbd	b3493	pitA	high
tbd	b3415	gntT	high
tbd	b2199	ccmC	high
tbd	b2424	cysU	high
tbd	b1174	minE	low
tbd	b1629	rsxC	high
tbd	b3709	tnaB	high
tbd	b3816	corA	high
tbd	b3502	arsB	high
tbd	b0486	ybaT	low
tbd	b2240	glpT	high
tbd	b1065	mdtH	high
tbd	b1632	rsxE	high
tbd	b3241	aaeA	high
tbd	b3364	tsgA	low
tbd	b0070	setA	high
tbd	b0896	dmsC	high
tbd	b0657	lnt	high
tbd	b1514	lsrC	high
tbd	b2076	mdtC	high
tbd	b2975	glcA	high
tbd	b3662	nepI	high
tbd	b3733	atpG	high
tbd	b2198	ccmD	low
tbd	b0654	gltJ	high
tbd	b0353	mhpT	high
tbd	b0612	citT	high
tbd	b2723	hycC	high
tbd	b3161	mtr	high
tbd	b3258	panF	high
tbd	b2512	bamB	high
tbd	b3907	rhaT	high
tbd	b3747	kup	high
tbd	b0751	pnuC	high
tbd	b3955	eptC	high
tbd	b1923	fliC	high
tbd	b4159	mscM	high
tbd	b1946	fliN	high
tbd	b1942	fliJ	low
tbd	b1880	flhB	high
tbd	b1078	flgG	high
tbd	b1081	flgJ	high
tbd	b1950	fliR	low
tbd	b1924	fliD	high
tbd	b1938	fliF	high
tbd	b1926	fliT	high
tbd	b1940	fliH	high
tbd	b1080	flgI	high
tbd	b1944	fliL	high
tbd	b1949	fliQ	high
tbd	b1879	flhA	high
tbd	b1079	flgH	high
tbd	b3785	wzzE	high
tbd	b3620	rfaF	high
tbd	b3630	rfaP	high
tbd	b3628	rfaB	high
tbd	b3622	rfaL	high
tbd	b3621	rfaC	high
tbd	b3561	wecH	high
tbd	b3631	rfaG	low
tbd	b3313	rplP	high
tbd	b0023	rpsT	high
tbd	b3318	rplW	high
tbd	b0953	rmf	high
tbd	b4203	rplI	high
tbd	b3637	rpmB	high
tbd	b3321	rpsJ	high
tbd	b1717	rpmI	high
tbd	b2609	rpsP	high
tbd	b3320	rplC	high
tbd	b3185	rpmA	high
tbd	b3230	rpsI	high
tbd	b3170	rimP	low
tbd	b1480	sra	low
tbd	b3302	rpmD	high
tbd	b3636	rpmG	high
tbd	b3294	rplQ	high
tbd	b0169	rpsB	high
tbd	b3065	rpsU	high
tbd	b3186	rplU	high
tbd	b3309	rplX	high
tbd	b3306	rpsH	high
tbd	b3312	rpmC	high
tbd	b3231	rplM	high
tbd	b1089	rpmF	high
tbd	b3265	acrE	high
tbd	b2636	yfjS	low
tbd	b3513	mdtE	high
tbd	b1639	mliC	high
tbd	b1253	yciA	high
tbd	b0518	fdrA	low
tbd	b2384	ypdE	high
tbd	b4149	blc	low
tbd	b1874	cutC	low
tbd	b0633	rlpA	high
tbd	b0251	yafY	high
tbd	b2516	rodZ	high
tbd	b3715	yieH	high
tbd	b1424	mdoD	low
tbd	b2473	ypfH	low
tbd	b3379	php	low
tbd	b0686	ybfF	low
tbd	b2955	yggW	high
tbd	b4387	smp	low
tbd	b0426	yajQ	low
tbd	b3233	yhcB	low
tbd	b2176	rtn	low
tbd	b2266	elaB	low
tbd	b3529	yhjK	low
tbd	b2252	ais	high
tbd	b3106	yhaK	low
tbd	b4109	crfC	high
tbd	b0710	ybgI	low
tbd	b2618	ratB	low
tbd	b2834	tas	low
tbd	b4249	bdcA	high
tbd	b4354	yjiY	low
tbd	b3211	yhcC	low
tbd	b3802	hemY	low
tbd	b2944	sprT	low
tbd	b1615	uidC	low
tbd	b0240	crl	high
tbd	b4571	wbbL	high
