GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION	GO ASPECT
UniProtKB	A5A616	mgtS	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:28512220	UniProtKB:P0ABB8	83333	EcoCyc		F
UniProtKB	A5A627	tisB	enables	GO:0005253	anion channel activity	ECO:0000314	IDA	PMID:22728134		83333	EcoCyc		F
UniProtKB	C1P5Z7	sgrT	enables	GO:0004857	enzyme inhibitor activity	ECO:0000315	IMP	PMID:18042713		83333	EcoCyc		F
UniProtKB	C1P5Z7	sgrT	enables	GO:0004857	enzyme inhibitor activity	ECO:0000315	IMP	PMID:28289085		83333	EcoCyc		F
UniProtKB	C1P5Z7	sgrT	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:24957761	UniProtKB:P69786	83333	EcoCyc		F
UniProtKB	C4ZRD1	pepA	enables	GO:0003677	DNA binding	ECO:0000314	IDA	PMID:10970742		595496	CAFA		F
UniProtKB	C4ZRD1	pepA	enables	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	ECO:0000314	IDA	PMID:10970742		595496	CAFA		F
UniProtKB	C4ZRD1	pepA	enables	GO:0004177	aminopeptidase activity	ECO:0000314	IDA	PMID:10970742		595496	CAFA		F
UniProtKB	C4ZTJ3	tig	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20153451	UniProtKB:P69853	595496	IntAct		F
UniProtKB	C4ZUT0	aes	enables	GO:0008126	acetylesterase activity	ECO:0000314	IDA	PMID:9401025		595496	CAFA		F
UniProtKB	C4ZYN1	grpE	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20153451	UniProtKB:P69853	595496	IntAct		F
UniProtKB	C5A1D5	groL	enables	GO:0005515	protein binding	ECO:0000353	IPI	PMID:20153451	UniProtKB:P69853	595496	IntAct		F
