EG	ECK	Gene	Syn	Type	Len	Ori	LeftEnd	RightEnd	Cs	MW	Protein	Function	Description	Comments	GI	SP	b#	ASAP	JW	CG	
EG10001	ECK4045	alr	None	aa	359	Clockwise	4265782	4266861	91.90	39152.94	alanine racemase, biosynthetic, PLP-binding	Enzyme; Amino acid biosynthesis: Alanine	Alanine racemase, biosynthetic, PLP-binding	Alr has a covalently PLP-modified K34 residue N6-(pyridoxal phosphate)lysine.	; 1790487	P0A6B4	b4053	13272	JW4013	CG1034
EG10002	ECK0753	modB	chlJ	aa	229	Clockwise	795862	796551	17.15	24938.82	molybdate ABC transporter permease; chlorate resistance protein	Transport; Transport of small molecules: Anions	Molybdate ABC transporter permease; chlorate resistance	Null	; 1786980	P0AF01	b0764	2603	JW0747	CG18478
EG10003	ECK2408	cysZ	None	aa	253	Clockwise	2531463	2532224	54.54	29305.00	sulfate transporter, sulfite inhibited	Putative transport; Transport of small molecules: Anions	Sulfate transporter, sulfite inhibited	CysZ is a sulfite-inhibited pH-dependent sulfate transporter that is specialized for sulfate import for cysteine synthesis (Zhang, 2014). cysZ mutants are defective in sulfate assimilation, thought to be due to a defect in sulfate transport (Britton, 1983; Parra, 1983; Aguilar-Barajas, 2011). The etoposide-induced protein 2.4 family (EI24, PF0726), formerly known as DUF540, is named after the eukaryotic EI24 protein induced by the cytotoxic drug etoposide; ei24 is a p53 response gene involved in growth suppression and apoptosis (Gu, 2000). CysZ is an inner membrane protein with the C-terminus in the cytoplasm (Daley, 2005). otherPDB (I. loihiensis): 3TX3.	1788753	P0A6J3	b2413	7953	JW2406	Null
EG10004	ECK3629	dfp	coaBC	aa	406	Clockwise	3812731	3813951	82.14	43438.14	fused 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase, FMN-binding	Phenotype; DNA - replication, repair, restriction/modification	Coenzyme A biosynthesis, bifunctional enzyme; phosphopantothenoylcysteine decarboxylase (N) and phosphopantothenoylcysteine synthase (C)	Dfp was originally identified as a flavoprotein affecting DNA synthesis and pantothenate metabolism. The N-terminal domain of Dfp catalyzes the decarboxylation of (R)-4'-phospho-N-pantothenoylcysteine to 4'-phosphopantetheine.	; 87082301	P0ABQ0	b3639	11896	JW5642	CG18430
EG10005	ECK2162	fruB	fpr, fruF	aa	376	Counterclockwise	2262365	2263495	48.74	39647.83	fused fructose-specific PTS enzymes: IIA component/HPr component	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	Multiphosphoryl transfer protein: fructose PTS EIIA and FPr; MTP-Fru; diphosphoryl transfer protein (DTP)	FruB has an N-terminal fructose-specific EIIA domain and a C-terminal HPr-like FPr (fructose-inducible HPr) domain. In the probable fructose-specific PTS kinase cascade, the autophosphorylated enzyme I (PtsI) His189-P transfers a phosphate to His299 in the HPr-like FPr domain of FruB; His299-P transfers a phosphate to His62 of the FruB EIIA domain; His62-P transfers its phosphate to Cys112 of the EIIB domain of FruA and from EIIB to fructose during sugar uptake. 3/70 FruB peptide masses from MS analysis confirm this start codon and indicate that the initial Met is not removed (Maillet, 2007).	; 1788494	P69811	b2169	7180	JW2156	CG17515
EG10006	ECK4116	dcuB	genF	aa	446	Counterclockwise	4347404	4348744	93.66	47935.26	C4-dicarboxylate transporter, anaerobic; DcuS co-sensor	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	C4-dicarboxylate transporter, anaerobic; DcuS co-sensor	DcuB is a bifunctional protein with both transporter and co-sensor functions; some mutations affect DcuRS-mediated transcriptional regulation but not transport and vice-versa (Kleefeld, 2009; Bauer, 2011). IT (Ion Transporter) superfamily (Prakash, 2003). ST(3) structural class based on hydropathy profile (Lolkema, 2003). DcuB is required for D-tartrate anaerobic transport (Kim, 2007).	; 1790565	P0ABN9	b4123	13503	JW4084	CG34479
EG10007	ECK2301	hisM	None	aa	238	Counterclockwise	2424517	2425233	52.23	26869.81	histidine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Histidine ABC transporter permease	Null	; 1788645	P0AEU3	b2307	7613	JW2304	CG25879
EG10008	ECK3995	zraS	hydH	aa	465	Clockwise	4201926	4203323	90.53	51031.80	sensory histidine kinase in two-component regulatory system with ZraR	Enzyme; Energy metabolism, carbon: Fermentation	Two component sensor kinase for ZraP; responsive to Zn(2+) and Pb(2+); autoregulated; regulation of Hyd-3 activity is probably due to crosstalk of overexpressed protein	Null	; 1790436	P14377	b4003	13088	JW3967	CG34249
EG10009	ECK1146	icdC'	icd	aa	54	Clockwise	1211413	1211577	26.10	6064.09	pseudogene, isocitrate dehydrogenase C-terminal gene fragment	Null	Pseudogene, isocitrate dehydrogenase, e14 attachment site	icdC' encodes the C-terminal 54 amino acid fragment of icd created during e14 prophage insertion. The inntact homolog icdE is a hybrid protein and this is the original C-terminus of icd.	87081844	P08200	b4519	Null	JW5173	Null
EG10010	ECK1450	rhsE'	None	aa	678	Clockwise	1527902	1529938	32.92	76665.95	pseudogene, Rhs family	Null	Pseudogene, Rhs family protein with putative toxin domain	It has been suggested that all Rhs systems are involved in intercellular growth inhibition, suggesting that the Rhs proteins are secreted from E. coli and that the variable C-terminal domains are toxic to neighboring cells when secreted to the outside of the cell (Koskiniemi, 2013).	1787728	P24211	b1456	4858	JW1451	Null
EG10011	ECK0006	yaaA	None	aa	258	Counterclockwise	5683	6459	0.12	29585.83	peroxide resistance protein, lowers intracellular iron	Null	Peroxide resistance protein, lowers intracellular iron	Mutants of yaaA in an Hpx- background (katE katG ahpCF) grow poorly, have extensive DNA damage and are filamentous; these phenotypes are due to elevated unincorporated intracellular iron levels that are suppressible by iron chelators (Liu, 2011). Although previous microarray results demonstrated a 4-fold elevation of yaaA expression by hydrogen peroxide in an oxyR mutant, this activation could not be reproduced with LacZ fusions or real time PCR (Zheng, 2001; Liu, 2011). Low abundance protein. UPF0246 family.	1786187	P0A8I3	b0006	18	JW0005	Null
EG10012	ECK0877	cydC	mdrA, mdrH, surB, ycaB	aa	573	Counterclockwise	927474	929195	19.98	62920.17	glutathione/cysteine ABC transporter export permease/ATPase	Transport; Transport of small molecules: Other	Glutathione/cysteine ABC transporter permease/ATPase; exports glutathione and cysteine to the periplasm as required for cytochrome assembly	Glutathione transport is more efficient than cysteine transport (Pittman, 2005). Exogenous glutathione or cysteine rescues the swarming motility defect and benzylpenicillin hypersensitivity of cydDC mutants (Pittman, 2002; Pittman, 2005).	; 1787112	P23886	b0886	3012	JW0869	CG17725
