locus_id	primary_name	category
b0001	thrL	well-annotated
b0002	thrA	well-annotated
b0003	thrB	well-annotated
b0004	thrC	well-annotated
b0005	yaaX	y-ome
b0006	yaaA	y-ome
b0007	yaaJ	y-ome
b0008	talB	well-annotated
b0009	mog	well-annotated
b0010	satP	well-annotated
b0011	yaaW	y-ome
b0012	mbiA	y-ome
b0013	yaaI	y-ome
b0014	dnaK	well-annotated
b0015	dnaJ	well-annotated
b0016	insL-1, insL1	well-annotated
b0017		excluded
b0018	mokC	y-ome
b0019	nhaA	well-annotated
b0020	nhaR	well-annotated
b0021	insB-1, insB1	well-annotated
b0022	insA-1, insA1, insA	well-annotated
b0023	rpsT	well-annotated
b0024	yaaY	y-ome
b0025	ribF	well-annotated
b0026	ileS	well-annotated
b0027	lspA	well-annotated
b0028	fkpB	well-annotated
b0029	ispH	well-annotated
b0030	rihC	well-annotated
b0031	dapB	well-annotated
b0032	carA	well-annotated
b0033	carB	well-annotated
b0034	caiF	well-annotated
b0035	caiE	y-ome
b0036	caiD	well-annotated
b0037	caiC	well-annotated
b0038	caiB	well-annotated
b0039	caiA	well-annotated
b0040	caiT	well-annotated
b0041	fixA	y-ome
b0042	fixB	y-ome
b0043	fixC	y-ome
b0044	fixX	y-ome
b0045	yaaU	y-ome
b0046	kefF	well-annotated
b0047	kefC	well-annotated
b0048	folA	well-annotated
b0049	apaH	well-annotated
b0050	apaG	y-ome
b0051	rsmA	well-annotated
b0052	pdxA	well-annotated
b0053	surA	well-annotated
b0054	lptD	well-annotated
b0055	djlA	well-annotated
b0056	yabP	y-ome
b0057	yabQ	y-ome
b0058	rluA	well-annotated
b0059	rapA	well-annotated
b0060	polB	well-annotated
b0061	araD	well-annotated
b0062	araA	well-annotated
b0063	araB	well-annotated
b0064	araC	well-annotated
b0065	yabI	y-ome
b0066	thiQ	well-annotated
b0067	thiP	well-annotated
b0068	tbpA, thiB	well-annotated
b0069	sgrR	well-annotated
b0070	setA	well-annotated
b0071	leuD	well-annotated
b0072	leuC	well-annotated
b0073	leuB	well-annotated
b0074	leuA	well-annotated
b0075	leuL	y-ome
b0076	leuO	well-annotated
b0077	ilvI	well-annotated
b0078	ilvH	well-annotated
b0079	fruL	excluded
b0080	cra	well-annotated
b0081	mraZ	well-annotated
b0082	rsmH	well-annotated
b0083	ftsL	well-annotated
b0084	ftsI	well-annotated
b0085	murE	well-annotated
b0086	murF	well-annotated
b0087	mraY	well-annotated
b0088	murD	well-annotated
b0089	ftsW	well-annotated
b0090	murG	well-annotated
b0091	murC	well-annotated
b0092	ddlB	well-annotated
b0093	ftsQ	well-annotated
b0094	ftsA	well-annotated
b0095	ftsZ	well-annotated
b0096	lpxC	well-annotated
b0097	secM	well-annotated
b0098	secA	well-annotated
b0099	mutT	well-annotated
b0100		excluded
b0101	yacG	well-annotated
b0102	zapD	well-annotated
b0103	coaE	well-annotated
b0104	guaC	well-annotated
b0105		excluded
b0106	hofC	y-ome
b0107	hofB	y-ome
b0108	ppdD	y-ome
b0109	nadC	well-annotated
b0110	ampD	well-annotated
b0111	ampE	y-ome
b0112	aroP	well-annotated
b0113	pdhR	well-annotated
b0114	aceE	well-annotated
b0115	aceF	well-annotated
b0116	lpd, lpdA	well-annotated
b0117	yacH	y-ome
b0118	acnB	well-annotated
b0119	yacL	y-ome
b0120	speD	well-annotated
b0121	speE	well-annotated
b0122	yacC	y-ome
b0123	cueO	well-annotated
b0124	gcd	well-annotated
b0125	hpt	well-annotated
b0126	can	well-annotated
b0127	yadG	y-ome
b0128	yadH	y-ome
b0129	yadI	y-ome
b0130	yadE	y-ome
b0131	panD	well-annotated
b0132	rpnC, yadD	y-ome
b0133	panC	well-annotated
b0134	panB	well-annotated
b0135	yadC	excluded
b0136	yadK	excluded
b0137	yadL	excluded
b0138	yadM	excluded
b0139	htrE	excluded
b0140	yadV	excluded
b0141	yadN	excluded
b0142	folK	well-annotated
b0143	pcnB	well-annotated
b0144	gluQ	well-annotated
b0145	dksA	well-annotated
b0146	sfsA	y-ome
b0147	thpR, ligT	well-annotated
b0148	hrpB	y-ome
b0149	mrcB	well-annotated
b0150	fhuA	well-annotated
b0151	fhuC	well-annotated
b0152	fhuD	well-annotated
b0153	fhuB	well-annotated
b0154	hemL	well-annotated
b0155	clcA	well-annotated
b0156	erpA	well-annotated
b0157	yadS	y-ome
b0158	btuF	well-annotated
b0159	mtn, mtnN	well-annotated
b0160	dgt	well-annotated
b0161	degP	well-annotated
b0162	cdaR	well-annotated
b0163	yaeH	y-ome
b0164	yaeI	well-annotated
b0165		excluded
b0166	dapD	well-annotated
b0167	glnD	well-annotated
b0168	map	well-annotated
b0169	rpsB	well-annotated
b0170	tsf	well-annotated
b0171	pyrH	well-annotated
b0172	frr	well-annotated
b0173	dxr	well-annotated
b0174	ispU	well-annotated
b0175	cdsA	well-annotated
b0176	rseP	well-annotated
b0177	bamA	well-annotated
b0178	skp	well-annotated
b0179	lpxD	well-annotated
b0180	fabZ	well-annotated
b0181	lpxA	well-annotated
b0182	lpxB	well-annotated
b0183	rnhB	well-annotated
b0184	dnaE	well-annotated
b0185	accA	well-annotated
b0186	ldcC	well-annotated
b0187	yaeR	y-ome
b0188	tilS	well-annotated
b0189	rof	y-ome
b0190	yaeQ	y-ome
b0191	arfB	well-annotated
b0192	nlpE	well-annotated
b0193	yaeF	y-ome
b0194	proS	well-annotated
b0195	trmO, tsaA	well-annotated
b0196	rcsF	well-annotated
b0197	metQ	well-annotated
b0198	metI	well-annotated
b0199	metN	well-annotated
b0200	gmhB	well-annotated
b0201	rrsH	well-annotated
b0202	ileV	well-annotated
b0203	alaV	well-annotated
b0204	rrlH	well-annotated
b0205	rrfH	well-annotated
b0206	aspU	well-annotated
b0207	dkgB	well-annotated
b0208	yafC	y-ome
b0209	yafD	y-ome
b0210	yafE	y-ome
b0211	mltD	well-annotated
b0212	gloB	well-annotated
b0213	yafS	y-ome
b0214	rnhA	well-annotated
b0215	dnaQ	well-annotated
b0216	aspV	well-annotated
b0217	yafT	y-ome
b0218	yafU, yafU'	excluded
b0219	yafV	well-annotated
b0220	ivy	well-annotated
b0221	fadE	well-annotated
b0222	lpcA, gmhA	well-annotated
b0223	yafJ	y-ome
b0224	yafK	y-ome
b0225	yafQ	well-annotated
b0226	dinJ	well-annotated
b0227	yafL	y-ome
b0228	rayT	well-annotated
b0229	lfhA, lfhA'	excluded
b0230	lafU, lafU'	excluded
b0231	dinB	well-annotated
b0232	yafN	well-annotated
b0233	yafO	well-annotated
b0234	yafP	y-ome
b0235	ykfJ, ykfJ'	excluded
b0236	prfH, prfH'	excluded
b0237	pepD	well-annotated
b0238	gpt	well-annotated
b0239	frsA	well-annotated
b0240	crl_1, crl_2, crl', crl	well-annotated
b0241	phoE	well-annotated
b0242	proB	well-annotated
b0243	proA	well-annotated
b0244	thrW	well-annotated
b0245	ykfI	y-ome
b0246	yafW	well-annotated
b0247	ykfG	y-ome
b0248	yafX	y-ome
b0249	ykfF	y-ome
b0250	ykfB	y-ome
b0251	yafY	y-ome
b0252	yafZ	y-ome
b0253	ykfA	y-ome
b0254	perR	y-ome
b0255	insN-1, insN1	well-annotated
b0256	insI-1, insI1	well-annotated
b0257	insO-1, insO1	well-annotated
b0258	ykfC, ykfC'	excluded
b0259	insH-1, insH1	well-annotated
b0260	mmuP	well-annotated
b0261	mmuM	well-annotated
b0262	afuC, fbpC	y-ome
b0263	afuB, afuB'	excluded
b0264	insB-2, insB2, insB1	well-annotated
b0265	insA-2, insA2, insA	well-annotated
b0266	yagB, yagB'	excluded
b0267	yagA	y-ome
b0268	yagE	well-annotated
b0269	yagF	well-annotated
b0270	yagG	y-ome
b0271	yagH	y-ome
b0272	yagI	y-ome
b0273	argF	well-annotated
b0274	insB-3, insB3, insB1	well-annotated
b0275	insA-3, insA3, insA	well-annotated
b0276	yagJ, yagJ'	excluded
b0277	yagK	y-ome
b0278	yagL	y-ome
b0279	yagM	y-ome
b0280	yagN	y-ome
b0281	intF	y-ome
b0282	yagP	y-ome
b0283	paoD, yagQ	y-ome
b0284	paoC, yagR	well-annotated
b0285	paoB, yagS	well-annotated
b0286	paoA, yagT	well-annotated
b0287	yagU	y-ome
b0288	ykgJ	y-ome
b0289	ecpE	excluded
b0290	ecpD	excluded
b0291	ecpC	excluded
b0292	ecpB	excluded
b0293	ecpA	excluded
b0294	ecpR	well-annotated
b0295	ykgL	y-ome
b0296	ykgM	y-ome
