GeneId,GeneSymbol,TaxId,LocusTag,State,Alias,Type,Description,SciBayStatus,HasStructure,AddDate,LastModified,IsInCluster,Description_tsv,IsInModelOrganism,IsExpValidated,HasPrediction,HasSpePrediction,HasHumanHomology,IsPurified,IsCloned
947748,aaeA,511145,b3241,-1,ECK3230|JW3210|yhcQ,protein-coding,p-hydroxybenzoic acid efflux system component,2,,2010-08-05,2012-07-10 12:12:34.764739,1,'acid':4 'compon':7 'efflux':5 'hydroxybenzo':3 'p':2 'p-hydroxybenzo':1 'system':6,1,0,1,0,0,0,0
947747,aaeB,511145,b3240,-1,ECK3229|JW3209|yhcP,protein-coding,p-hydroxybenzoic acid efflux system component,1,,2010-08-05,2012-07-10 12:12:34.764739,1,'acid':4 'compon':7 'efflux':5 'hydroxybenzo':3 'p':2 'p-hydroxybenzo':1 'system':6,1,0,1,0,0,1,0
947760,aaeR,511145,b3243,-1,ECK3232|JW3212|qseA|yhcS,protein-coding,transcriptional regulator for aaeXAB operon,2,,2010-08-05,2012-07-10 12:12:34.764739,1,'aaexab':4 'operon':5 'regul':2 'transcript':1,1,0,0,0,0,0,0
947751,aaeX,511145,b3242,-1,ECK3231|JW5541|yhcR,protein-coding,membrane protein of efflux system,2,,2010-08-05,2012-07-10 12:12:34.764739,1,'efflux':4 'membran':1 'protein':2 'system':5,1,0,0,0,0,0,0
947315,aas,511145,b2836,-1,ECK2832|JW2804,protein-coding,fused 2-acylglycerophospho-ethanolamine acyl transferase/acyl-acyl carrier protein synthetase,1,,2010-08-05,2012-07-10 12:12:34.764739,1,'2':2 'acyl':6 'acylglycerophospho':4 'acylglycerophospho-ethanolamin':3 'carrier':8 'ethanolamin':5 'fuse':1 'protein':9 'synthetas':10 'transferase/acyl-acyl':7,1,0,1,0,1,0,0
945490,aat,511145,b0885,-1,ECK0876|JW0868|ycaA,protein-coding,leucyl/phenylalanyl-tRNA-protein transferase,1,1,2010-08-05,2012-07-10 12:12:34.764739,1,'leucyl/phenylalanyl-trna-protein':1 'transferas':2,1,0,1,0,0,0,0
945742,abgA,511145,b1338,-1,ECK1334|JW5205|ydaJ,protein-coding,"predicted peptidase, aminobenzoyl-glutamate utilization protein",1,,2010-08-05,2012-07-10 12:12:34.764739,1,'aminobenzoyl':4 'aminobenzoyl-glutam':3 'glutam':5 'peptidas':2 'predict':1 'protein':7 'util':6,1,0,0,0,1,0,0
945950,abgB,511145,b1337,-1,ECK1333|JW1331|ydaI,protein-coding,"predicted peptidase, aminobenzoyl-glutamate utilization protein",1,,2010-08-05,2012-07-10 12:12:34.764739,1,'aminobenzoyl':4 'aminobenzoyl-glutam':3 'glutam':5 'peptidas':2 'predict':1 'protein':7 'util':6,1,0,0,0,1,0,1
945831,abgR,511145,b1339,-1,ECK1335|JW1333,protein-coding,predicted DNA-binding transcriptional regulator of abgABT operon,1,,2010-08-05,2012-07-10 12:12:34.764739,1,'abgabt':8 'bind':4 'dna':3 'dna-bind':2 'operon':9 'predict':1 'regul':6 'transcript':5,1,0,0,0,0,0,0
945912,abgT,511145,b1336,-1,ECK1332|JW5822|ydaH,protein-coding,p-aminobenzoyl-glutamate transporter; membrane protein,1,,2010-08-05,2012-07-10 12:12:34.764739,1,'aminobenzoyl':3 'glutam':4 'membran':6 'p':2 'p-aminobenzoyl-glutam':1 'protein':7 'transport':5,1,0,0,0,0,1,1
