locus_tag	primary_name	matched_features
b0007	yaaJ	putative transporter YaaJ; Putative transporter, sodium:alanine (SAF) symporter family; function unknown; putative transporter; Uncharacterized transporter YaaJ; putative transporter
b0045	yaaU	putative transporter YaaU; Although a wildtype strain was unaffected, a yaaU deletion mutant exhibited 10% survival after 20 minutes in 2.5 mM hydrogen peroxide (Kri Ko, 2014). YaaU is a member of the Sugar Porter (SP) family within the Major Facilitator Superfamily (MFS) of transporters.; Putative MFS transporter, function unknown; membrane protein; putative MFS sugar transporter; membrane protein; Putative metabolite transport protein YaaU; putative MFS sugar transporter; membrane protein
b0106	hofC	Protein transport protein HofC homolog
b0107	hofB	Protein transport protein HofB homolog
b0127	yadG	putative ABC transporter ATP-binding protein YadG; Putative ABC transporter ATPase; putative ABC transporter ATPase; Uncharacterized ABC transporter ATP-binding protein YadG; putative ABC transporter ATPase
b0128	yadH	putative ABC transporter membrane subunit YadH; YadH, YbhR, YbhS, YhhJ, and the RbbA C-terminal domain are paralogous ABC2-membrane permease family members (pfam01061/COG0842).; Putative ABC transporter permease; putative ABC transporter permease; Inner membrane transport permease YadH; putative ABC transporter permease
b0129	yadI	putative PTS enzyme IIA component YadI; Predicted PTS Enzyme IIA, sugar specificity unknown; putative PTS Enzyme IIA; putative PTS Enzyme IIA
b0262	afuC	CP4-6 prophage; ABC transporter ATP-binding protein AfuC; Predicted ferric iron ABC transporter ATPase; orphan gene in a cryptic defective ABC transporter operon; CP4-6 prophage remnant; CP4-6 prophage; putative ferric transporter subunit; CP4-6 prophage; putative ferric transporter subunit; FUNCTION: Part of the ABC transporter complex FbpABC involved in Fe(3+) ions import. Responsible for energy coupling to the transport system. {ECO:0000255|HAMAP-Rule:MF_01706}.
b0270	yagG	putative D-xylonate transporter YagG; CP4-6 prophage; putative sugar transporter; CP4-6 prophage; putative sugar transporter
b0307	ykgF	Uncharacterized electron transport protein YkgF
b0328	yahN	putative amino acid exporter; YahN overproduction confers resistance to proline and increases export of proline, lysine, and glutamate (Livshits et al., US Patent No. 7527950, filed on 5/5/2009). YahN overproduction confers sensitivity to L-homoserine and L-homoserine lactone (Eggeling, 2003). LysE, RhtB transporter family.; Amino acid exporter for proline, lysine, glutamate, homoserine; amino acid exporter for proline, lysine, glutamate, homoserine; amino acid exporter for proline, lysine, glutamate, homoserine
b0341	cynX	cyanate transporter; transporter; Putative transporter, function unknown, cyn operon; putative cyanate transporter; Cyanate transport protein CynX; putative cyanate transporter
b0396	araJ	putative transport protein AraJ; A mutation in araJ does not affect arabinose uptake or utilization and does not affect the kinetics of arabinose induction, implying it is not an arabinose exporter either; the AraJ transport substrate is unknown (Reeder, 1991). Ara regulon.; L-arabinose-inducible MFS family transporter, function unknown; not involved in arabinose uptake or utilization; L-arabinose-inducible putative transporter, MFS family; Putative transporter AraJ; L-arabinose-inducible putative transporter, MFS family
b0402	proY	putative transporter ProY; ProY has been identified as a proline transporter when overproduced in Salmonella, but this function has not been demonstrated in E. coli (Liao, 1997). Multicopy proY was found to facilitate histidine import in E. coli (Patrick, 2007).; Probable histidine or proline permease; proline-specific permease; FUNCTION: Permease that is involved in the transport across the cytoplasmic membrane of proline.; Proline-specific permease ProY; proline-specific permease
b0427	yajR	putative major facilitator superfamily transport protein YajR; Putative transporter, function unknown; no overexpression resistances found; putative transporter; Inner membrane transport protein YajR; putative transporter
b0445	ybaE	Putative ABC transporter periplasmic binding protein; putative ABC transporter periplasmic binding protein; putative ABC transporter periplasmic binding protein
b0448	mdlA	ABC transporter family protein MdlA; Although MdlAB are similar to multidrug exporters, no overexpression resistances were found. mdlA and mdlB were fused by a frameshift mutation or sequencing error in the original report. mdlA and mdlB were fused by a frameshift mutation or sequencing error in the original report. Rob regulon.; ABC exporter permease-ATPase, function unknown; putative multidrug ABC transporter ATPase; putative multidrug ABC transporter ATPase
b0449	mdlB	ABC transporter family protein MdlB; Although MdlAB are similar to multidrug exporters, no overexpression resistances were found. mdlA and mdlB were fused by a frameshift mutation or sequencing error in the original report.; ABC exporter permease-ATPase, function unknown; putative multidrug ABC transporter ATPase; putative multidrug ABC transporter ATPase
b0478	ybaL	putative transporter YbaL; Potassium transporter homolog, function unknown; inner membrane putative NAD(P)-binding transporter; Putative cation/proton antiporter YbaL; inner membrane putative NAD(P)-binding transporter
b0486	ybaT	putative transporter YbaT; The glsA-ybaT operon organisation and the PF13520 AA_permease_2 motif suggest that YbaT may be a glutamine or general amino acid transporter. A mini-Tn10 insertion in ybaT inhibits the reduction of selenate without altering the growth rate. ybaT is in the CueR regulon and adjacent to cueR (Marbach, 2012).; Predicted amino acid transporter; putative amino acid transporter; FUNCTION: Probable amino-acid or metabolite transport protein.; Inner membrane transport protein YbaT; putative amino acid transporter
b0490	fetA	putative iron ABC exporter ATP-binding subunit FetA; Iron export ABC transporter ATPase; peroxide resistance protein; iron export ABC transporter ATPase; peroxide resistance protein; FUNCTION: Part of the ABC transporter complex FetAB, which is probably involved in iron export and enhances resistance to H(2)O(2)-mediated oxidative stress. Probably responsible for energy coupling to the transport system. {ECO:0000269|PubMed:24038693}.; iron export ABC transporter ATPase; peroxide resistance protein
b0491	fetB	putative iron ABC exporter membrane subunit FetB; Iron export ABC transporter permease; peroxide resistance protein; iron export ABC transporter permease; peroxide resistance protein; FUNCTION: Part of the ABC transporter complex FetAB, which is probably involved in iron export and enhances resistance to H(2)O(2)-mediated oxidative stress. Probably responsible for the translocation of the substrate across the membrane. {ECO:0000269|PubMed:24038693}.; Probable iron export permease protein FetB; iron export ABC transporter permease; peroxide resistance protein
b0495	ybbA	putative ABC transporter ATP-binding protein YbbA; Putative ABC transporter ATPase; putative ABC transporter ATPase; Uncharacterized ABC transporter ATP-binding protein YbbA; putative ABC transporter ATPase
b0496	ybbP	putative ABC transporter membrane subunit YbbP; Putative ABC transporter permease; putative ABC transporter permease; Uncharacterized ABC transporter permease YbbP; putative ABC transporter permease
b0511	ybbW	putative allantoin transporter; Putative allantoin permease, glyoxylate-inducible or allantoin-inducible (anaerobic); putative allantoin transporter; Putative allantoin permease (Allantoin transport protein); putative allantoin transporter
b0513	ybbY	putative purine transporter; Putative xanthine/uracil permease, function unknown; glyoxylate-inducible; putative uracil/xanthine transporter; Putative purine permease YbbY; putative uracil/xanthine transporter
b0587	fepE	Ferric enterobactin transport protein FepE
b0760	modF	Molybdate ABC transporter ATPase; molybdate ABC transporter ATPase; ABC transporter ATP-binding protein ModF (Photorepair protein PhrA); molybdate ABC transporter ATPase
b0770	ybhI	putative tricarboxylate transporter; IT (Ion Transporter) superfamily (Prakash, 2003). YbhI is amember of the ST(3) structural class based on hydropathy profiles (Lolkema, 2003). ; Putative DASS family tri- or di-carboxylate transporter; inner membrane protein; putative DASS family tricarboxylate or dicarboxylate transporter; putative DASS family tricarboxylate or dicarboxylate transporter
